Action,Short Action,File Name,Formal Stakeholder,Category,Insert Timestamp
Provide potable water in all learning centres (from preschool and crèches to universities and adult learning centres) and ensure all new builds provide potable water on opening.,Provide water in learning centres,A Healthy Weight for Ireland - Obesity Policy and Action Plan 2016-2025,Department of Education,Department of Education,2025-06-20T11:59:18.033Z
Provide potable water in all learning centres (from preschool and crèches to universities and adult learning centres) and ensure all new builds provide potable water on opening.,Provide water in learning centres,A Healthy Weight for Ireland - Obesity Policy and Action Plan 2016-2025,Pre-Schools,Research and Regulatory,2025-06-20T11:59:18.033Z
Provide potable water in all learning centres (from preschool and crèches to universities and adult learning centres) and ensure all new builds provide potable water on opening.,Provide water in learning centres,A Healthy Weight for Ireland - Obesity Policy and Action Plan 2016-2025,Pre-Schools,Research and Regulatory,2025-06-20T11:59:18.033Z
Provide potable water in all learning centres (from preschool and crèches to universities and adult learning centres) and ensure all new builds provide potable water on opening.,Provide water in learning centres,A Healthy Weight for Ireland - Obesity Policy and Action Plan 2016-2025,Academia and Research Organisations,Research and Regulatory,2025-06-20T11:59:18.033Z
Provide potable water in all learning centres (from preschool and crèches to universities and adult learning centres) and ensure all new builds provide potable water on opening.,Provide water in learning centres,A Healthy Weight for Ireland - Obesity Policy and Action Plan 2016-2025,Academia and Research Organisations,Research and Regulatory,2025-06-20T11:59:18.033Z
Engage with local communities on water quality projects through the Local Authority Waters and Communities Office.,Engage communities on water quality,Action Plan for Rural Development,Uisce Éireann,Semi-state agency,2025-06-20T11:59:18.033Z
Engage with local communities on water quality projects through the Local Authority Waters and Communities Office.,Engage communities on water quality,Action Plan for Rural Development,Local Authorities,State Agencies and Local Authorities,2025-06-20T11:59:18.033Z
"Develop and promote Blueways (multi-purpose activity trails on or beside water) on the Royal, Grand and Barrow Canals and on the Shannon Navigation to expand the recreational and tourism offering, with a capital investment of €6m over the period 2017-2019.",Develop and promote water Blueways,Action Plan for Rural Development,"Department of Arts, Heritage, Regional, Rural and Gaeltacht Affairs","Department of Arts, Heritage, Regional, Rural and Gaeltacht Affairs",2025-06-20T11:59:18.033Z
"Develop and promote Blueways (multi-purpose activity trails on or beside water) on the Royal, Grand and Barrow Canals and on the Shannon Navigation to expand the recreational and tourism offering, with a capital investment of €6m over the period 2017-2019.",Develop and promote water Blueways,Action Plan for Rural Development,Waterways Ireland,Semi-state agency,2025-06-20T11:59:18.033Z
"Develop and promote Blueways (multi-purpose activity trails on or beside water) on the Royal, Grand and Barrow Canals and on the Shannon Navigation to expand the recreational and tourism offering, with a capital investment of €6m over the period 2017-2019.",Develop and promote water Blueways,Action Plan for Rural Development,Fáilte Ireland,Semi-State Agency,2025-06-20T11:59:18.033Z
"Continue to deliver the annual Inland Fisheries Ireland Something Fishy National Schools Programme to inform and educate students on fish, water, angling and the environment in their local areas .",Educate students on water topics,Action Plan for Rural Development,Inland Fisheries Ireland,Research and Regulatory,2025-06-20T11:59:18.033Z
