_id,MISSION,MISSION STATEMENT,GOAL,GOAL STATEMENT,ACTION,ACTION STATEMENT,Formal Stakeholder,Category,Labels,Insert Datetime
684966d99b5e602eb0072b01,MISSION 2,Viable & Resilient  Primary Producers  with Enhanced  Wellbeing,MISSION 2 GOAL 4,Improve the Social Sustainability of Primary Producers,MISSION 2 GOAL 4 ACTION 23,"Government will continue to focus on  Rural Development;       The Government has published a new rural  development policy, Our Rural Future 2021 to 2025.","Department Of Agriculture, Food And The Marine","Department Of Agriculture, Food And The Marine","Department of Agriculture, Food and the Marine 004",2025-06-11T12:22:01.653Z
684966d99b5e602eb0072b02,MISSION 2,Viable & Resilient  Primary Producers  with Enhanced  Wellbeing,MISSION 2 GOAL 4,Improve the Social Sustainability of Primary Producers,MISSION 2 GOAL 4 ACTION 23,"Government will continue to focus on  Rural Development;       The Government has published a new rural  development policy, Our Rural Future 2021 to 2025.",Department Of Rural And Community Development,Department Of Rural And Community Development,Department of Rural and Community Development 001,2025-06-11T12:22:01.653Z
684966d99b5e602eb0072b03,MISSION 3,"Food which is Safe,  Nutritious and  Appealing, Trusted  and Valued at Home  and Abroad",MISSION 3 GOAL 1,Prioritise Coherent Food and Health Policies to Deliver Improved Health Outcomes,MISSION 3 GOAL 1 ACTION 1,"Improve coherence of policies for  food, health and nutrition through the  establishment of a high-level group co- chaired by the Departments of Health  and Agriculture, Food and the Marine.",Healthy Ireland,Department Of Health,Department of Health 003,2025-06-11T12:22:01.653Z
684966d99b5e602eb0072b04,MISSION 3,"Food which is Safe,  Nutritious and  Appealing, Trusted  and Valued at Home  and Abroad",MISSION 3 GOAL 1,Prioritise Coherent Food and Health Policies to Deliver Improved Health Outcomes,MISSION 3 GOAL 1 ACTION 1,"Improve coherence of policies for  food, health and nutrition through the  establishment of a high-level group co- chaired by the Departments of Health  and Agriculture, Food and the Marine.",National Obesity Strategy,Department Of Health,Department of Health 004,2025-06-11T12:22:01.653Z
684966d99b5e602eb0072b05,MISSION 3,"Food which is Safe,  Nutritious and  Appealing, Trusted  and Valued at Home  and Abroad",MISSION 3 GOAL 4,Develop Market Opportunities at Home and Abroad,MISSION 3 GOAL 4 ACTION 3,Increase efforts to gain and maintain  market access for key product categories  to priority international markets.,"Department Of Agriculture, Food And The Marine","Department Of Agriculture, Food And The Marine","Department of Agriculture, Food and the Marine 004",2025-06-11T12:22:01.653Z
684966d99b5e602eb0072b06,MISSION 4,"An Innovative,  Competitive &  Resilient Agri-Food  Sector, Driven by  Technology and  Talent",MISSION 4 GOAL 6,Attract and Nurture Diverse and Inclusive Talent,MISSION 4 GOAL 6 ACTION 2,To ensure decent work and address  labour shortages:   a.,"Department Of Enterprise, Trade And Employment","Department Of Business, Employment And Retail","Department of Business, Employment and Retail 002",2025-06-11T12:22:01.653Z
684966d99b5e602eb0072b07,MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 1,"Develop a Climate Neutral Agri- Food System so that by 2050, the Climate Impact of Methane is Reduced to Zero and Remaining Agricultural Emissions are Balanced by Removals; and Improve Air Quality",MISSION 1 GOAL 1 ACTION 9,"Prepare for climate change through  implementing the actions contained  in the statutory Agriculture, Forest  and Seafood Climate Change Sectoral  Adaptation Plan.",Agri-Food Businesses,Processors,Processors 002,2025-06-11T12:22:01.653Z
684966d99b5e602eb0072b08,MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 2,Restore and Enhance Biodiversity,MISSION 1 GOAL 2 ACTION 2,Put in place more targeted agri- environmental schemes under the  next Rural Development Programme  (RDP) to protect and enhance Ireland’s  habitats and species.,National Parks And Wildlife Service,"Department Of Housing, Local Government And Heritage","Department of Housing, Local Government and Heritage 003",2025-06-11T12:22:01.653Z
684966d99b5e602eb0072b09,MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 2,Restore and Enhance Biodiversity,MISSION 1 GOAL 2 ACTION 2,Put in place more targeted agri- environmental schemes under the  next Rural Development Programme  (RDP) to protect and enhance Ireland’s  habitats and species.,Farmers,Producers,Producers 008,2025-06-11T12:22:01.653Z
684966d99b5e602eb0072b0a,MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 2,Restore and Enhance Biodiversity,MISSION 1 GOAL 2 ACTION 2,Put in place more targeted agri- environmental schemes under the  next Rural Development Programme  (RDP) to protect and enhance Ireland’s  habitats and species.,European Innovation Partnership,Research And Regulatory,Research and Regulatory 031,2025-06-11T12:22:01.653Z
684966d99b5e602eb0072b0b,MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 2,Restore and Enhance Biodiversity,MISSION 1 GOAL 2 ACTION 3,Undertake a national land use review  and support the DECC led development  of a land use strategy.,Ordnance Survey Ireland,Semi-State Agency,Semi-State Agency 009,2025-06-11T12:22:01.653Z
684966d99b5e602eb0072b0c,MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 2,Restore and Enhance Biodiversity,MISSION 1 GOAL 2 ACTION 3,Undertake a national land use review  and support the DECC led development  of a land use strategy.,Environmental Protection Agency,State Agencies ,State Agencies  001,2025-06-11T12:22:01.653Z
684966d99b5e602eb0072b0d,MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 2,Restore and Enhance Biodiversity,MISSION 1 GOAL 2 ACTION 3,Undertake a national land use review  and support the DECC led development  of a land use strategy.,"Department Of Agriculture, Food And The Marine","Department Of Agriculture, Food And The Marine","Department of Agriculture, Food and the Marine 004",2025-06-11T12:22:01.653Z
684966d99b5e602eb0072b0e,MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 2,Restore and Enhance Biodiversity,MISSION 1 GOAL 2 ACTION 3,Undertake a national land use review  and support the DECC led development  of a land use strategy.,Natural Capital Ireland,Ngo,NGO 021,2025-06-11T12:22:01.653Z
684966d99b5e602eb0072b0f,MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 2,Restore and Enhance Biodiversity,MISSION 1 GOAL 2 ACTION 3,Undertake a national land use review  and support the DECC led development  of a land use strategy.,Bord Iascaigh Mhara,Semi-State Agency,Semi-State Agency 002,2025-06-11T12:22:01.653Z
684966d99b5e602eb0072b10,MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 2,Restore and Enhance Biodiversity,MISSION 1 GOAL 2 ACTION 3,Undertake a national land use review  and support the DECC led development  of a land use strategy.,United Nations System Of Environmental-Economic Accounting,International Organisation,International organisation 022,2025-06-11T12:22:01.653Z
684966d99b5e602eb0072b11,MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 2,Restore and Enhance Biodiversity,MISSION 1 GOAL 2 ACTION 5,"Conduct appropriate and relevant  assessments of the impact of the more  detailed Commission proposals for  pesticide use reduction at the same time,   especially the potential for increased in-field crop  losses and food waste further down the chain, as well  as loss of competitiveness, which could lead to farm  system and land use change.",Irish Agricultural Sector,Producers,Producers 016,2025-06-11T12:22:01.653Z
684966d99b5e602eb0072b12,MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 2,Restore and Enhance Biodiversity,MISSION 1 GOAL 2 ACTION 5,"Conduct appropriate and relevant  assessments of the impact of the more  detailed Commission proposals for  pesticide use reduction at the same time,   especially the potential for increased in-field crop  losses and food waste further down the chain, as well  as loss of competitiveness, which could lead to farm  system and land use change.",Farmers,Producers,Producers 008,2025-06-11T12:22:01.653Z
