MISSION,MISSION STATEMENT,GOAL,GOAL STATEMENT,ACTION,ACTION STATEMENT,Formal Stakeholder,Category
MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 2,Restore and Enhance Biodiversity,MISSION 1 GOAL 2 ACTION 1,"Build on the ‘Farm Environmental Survey  Pilot’ to establish baselines of biodiversity  habitats, including hedgerows, on every  farm to inform future policy development  and measure progress.",Teagasc The Agriculture and Food Development Authority,Semi-state agency
MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 2,Restore and Enhance Biodiversity,MISSION 1 GOAL 2 ACTION 1,"Build on the ‘Farm Environmental Survey  Pilot’ to establish baselines of biodiversity  habitats, including hedgerows, on every  farm to inform future policy development  and measure progress.","Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine"
MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 2,Restore and Enhance Biodiversity,MISSION 1 GOAL 2 ACTION 1,"Build on the ‘Farm Environmental Survey  Pilot’ to establish baselines of biodiversity  habitats, including hedgerows, on every  farm to inform future policy development  and measure progress.",Farmers,Producers
MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 2,Restore and Enhance Biodiversity,MISSION 1 GOAL 2 ACTION 1,"Build on the ‘Farm Environmental Survey  Pilot’ to establish baselines of biodiversity  habitats, including hedgerows, on every  farm to inform future policy development  and measure progress.",Agri-Environment Advisors,Inputs
MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 2,Restore and Enhance Biodiversity,MISSION 1 GOAL 2 ACTION 1,"Build on the ‘Farm Environmental Survey  Pilot’ to establish baselines of biodiversity  habitats, including hedgerows, on every  farm to inform future policy development  and measure progress.",Agricultural Workers,Inputs
MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 3,"Protect High Status Sites and Contribute to the Protection and Restoration of Good Water Quality and Healthy Aquatic Ecosystems, as set out in the Water Framework Directive",MISSION 1 GOAL 3 ACTION 3,"Reduce the risk of agricultural use of  pesticides impacting water, particularly  drinking water, in terms of safety and  the health of the aquatic environment.",Farmers,Producers
MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 3,"Protect High Status Sites and Contribute to the Protection and Restoration of Good Water Quality and Healthy Aquatic Ecosystems, as set out in the Water Framework Directive",MISSION 1 GOAL 3 ACTION 3,"Reduce the risk of agricultural use of  pesticides impacting water, particularly  drinking water, in terms of safety and  the health of the aquatic environment.",Agricultural Producers,Producers
MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 4,"Develop Diverse, Multi-Functional Forests",MISSION 1 GOAL 4 ACTION 3,Place farmers at the centre of a new and  improved afforestation scheme.,Farmers,Producers
MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 4,"Develop Diverse, Multi-Functional Forests",MISSION 1 GOAL 4 ACTION 3,Place farmers at the centre of a new and  improved afforestation scheme.,Public Participation Networks,State Agencies and Local Authorities
MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 4,"Develop Diverse, Multi-Functional Forests",MISSION 1 GOAL 4 ACTION 5,"Implement Project Woodland, to ensure  that the licensing system for tree felling,  thinning, roads and afforestation provides  a predictable and efficient service for  applicants and to ensure that forests play  a positive role in the environment.",Blue Dot Catchments Programme,State Agencies and Local Authorities
