MISSION,MISSION STATEMENT,GOAL,GOAL STATEMENT,ACTION,ACTION STATEMENT,PROGRAMME,REPORT SUMMARY,Action Formal Stakeholder,Formal Stakeholder,Action Category,Report Category
MISSION 2,Viable & Resilient  Primary Producers  with Enhanced  Wellbeing,MISSION 2 GOAL 1,Improve the Competitiveness and Productivity of Primary Producers,MISSION 2 GOAL 1 ACTION 32,"Develop a strategy  to set out the road  map for the horticulture industry to 2030,   taking advantage of the growing demand for fruit and  vegetables, whole-foods and amenity; to increase  production and consumption of Irish produce on  the domestic market and, where possible, to take  advantage of expanding opportunities internationally.",National Strategy for Horticulture (2023 – 2027),"The Department of Agriculture, Food and the Marine coordinates actions to strengthen growers and supports research, innovation, and education in the National Strategy for Horticulture.",Producers,"Department Of Agriculture, Food And The Marine",Producers,"Department Of Agriculture, Food And The Marine"
MISSION 2,Viable & Resilient  Primary Producers  with Enhanced  Wellbeing,MISSION 2 GOAL 1,Improve the Competitiveness and Productivity of Primary Producers,MISSION 2 GOAL 1 ACTION 32,"Develop a strategy  to set out the road  map for the horticulture industry to 2030,   taking advantage of the growing demand for fruit and  vegetables, whole-foods and amenity; to increase  production and consumption of Irish produce on  the domestic market and, where possible, to take  advantage of expanding opportunities internationally.",National Strategy for Horticulture (2023 – 2027),Actively involved in the implementation of the National Strategy for Horticulture (2023-2027).,Producers,"Department Of Enterprise, Trade And Employment",Producers,"Department Of Business, Employment And Retail"
MISSION 2,Viable & Resilient  Primary Producers  with Enhanced  Wellbeing,MISSION 2 GOAL 1,Improve the Competitiveness and Productivity of Primary Producers,MISSION 2 GOAL 1 ACTION 32,"Develop a strategy  to set out the road  map for the horticulture industry to 2030,   taking advantage of the growing demand for fruit and  vegetables, whole-foods and amenity; to increase  production and consumption of Irish produce on  the domestic market and, where possible, to take  advantage of expanding opportunities internationally.",National Strategy for Horticulture (2023 – 2027),"The Department of Agriculture, Food and the Marine coordinates actions to strengthen growers' positions and supports research, innovation, and education within the National Strategy for Horticulture.",Growers,"Department Of Agriculture, Food And The Marine",Producers,"Department Of Agriculture, Food And The Marine"
MISSION 2,Viable & Resilient  Primary Producers  with Enhanced  Wellbeing,MISSION 2 GOAL 1,Improve the Competitiveness and Productivity of Primary Producers,MISSION 2 GOAL 1 ACTION 32,"Develop a strategy  to set out the road  map for the horticulture industry to 2030,   taking advantage of the growing demand for fruit and  vegetables, whole-foods and amenity; to increase  production and consumption of Irish produce on  the domestic market and, where possible, to take  advantage of expanding opportunities internationally.",National Strategy for Horticulture (2023 – 2027),Actively involved in the implementation of the National Strategy for Horticulture (2023-2027).,Growers,"Department Of Enterprise, Trade And Employment",Producers,"Department Of Business, Employment And Retail"
MISSION 2,Viable & Resilient  Primary Producers  with Enhanced  Wellbeing,MISSION 2 GOAL 1,Improve the Competitiveness and Productivity of Primary Producers,MISSION 2 GOAL 1 ACTION 32,"Develop a strategy  to set out the road  map for the horticulture industry to 2030,   taking advantage of the growing demand for fruit and  vegetables, whole-foods and amenity; to increase  production and consumption of Irish produce on  the domestic market and, where possible, to take  advantage of expanding opportunities internationally.",National Strategy for Horticulture (2023 – 2027),"The Department of Agriculture, Food and the Marine coordinates actions to strengthen growers and supports research, innovation, and education in the National Strategy for Horticulture.",Food For Health Ireland,"Department Of Agriculture, Food And The Marine",Research And Regulatory,"Department Of Agriculture, Food And The Marine"
MISSION 2,Viable & Resilient  Primary Producers  with Enhanced  Wellbeing,MISSION 2 GOAL 1,Improve the Competitiveness and Productivity of Primary Producers,MISSION 2 GOAL 1 ACTION 32,"Develop a strategy  to set out the road  map for the horticulture industry to 2030,   taking advantage of the growing demand for fruit and  vegetables, whole-foods and amenity; to increase  production and consumption of Irish produce on  the domestic market and, where possible, to take  advantage of expanding opportunities internationally.",National Strategy for Horticulture (2023 – 2027),Actively involved in the implementation of the National Strategy for Horticulture (2023 – 2027).,Food For Health Ireland,"Department Of Enterprise, Trade And Employment",Research And Regulatory,"Department Of Business, Employment And Retail"
MISSION 2,Viable & Resilient  Primary Producers  with Enhanced  Wellbeing,MISSION 2 GOAL 1,Improve the Competitiveness and Productivity of Primary Producers,MISSION 2 GOAL 1 ACTION 32,"Develop a strategy  to set out the road  map for the horticulture industry to 2030,   taking advantage of the growing demand for fruit and  vegetables, whole-foods and amenity; to increase  production and consumption of Irish produce on  the domestic market and, where possible, to take  advantage of expanding opportunities internationally.",National Strategy for Horticulture (2023 – 2027),"The Department of Agriculture, Food and the Marine coordinates actions to strengthen growers and supports research, innovation, and education in the National Strategy for Horticulture.",Farmers’ Markets,"Department Of Agriculture, Food And The Marine",Sales And Retail,"Department Of Agriculture, Food And The Marine"
MISSION 2,Viable & Resilient  Primary Producers  with Enhanced  Wellbeing,MISSION 2 GOAL 1,Improve the Competitiveness and Productivity of Primary Producers,MISSION 2 GOAL 1 ACTION 32,"Develop a strategy  to set out the road  map for the horticulture industry to 2030,   taking advantage of the growing demand for fruit and  vegetables, whole-foods and amenity; to increase  production and consumption of Irish produce on  the domestic market and, where possible, to take  advantage of expanding opportunities internationally.",National Strategy for Horticulture (2023 – 2027),Actively involved in the implementation of the National Strategy for Horticulture (2023-2027).,Farmers’ Markets,"Department Of Enterprise, Trade And Employment",Sales And Retail,"Department Of Business, Employment And Retail"
MISSION 2,Viable & Resilient  Primary Producers  with Enhanced  Wellbeing,MISSION 2 GOAL 1,Improve the Competitiveness and Productivity of Primary Producers,MISSION 2 GOAL 1 ACTION 32,"Develop a strategy  to set out the road  map for the horticulture industry to 2030,   taking advantage of the growing demand for fruit and  vegetables, whole-foods and amenity; to increase  production and consumption of Irish produce on  the domestic market and, where possible, to take  advantage of expanding opportunities internationally.",National Strategy for Horticulture (2023 – 2027),"The Department of Agriculture, Food and the Marine coordinates actions to strengthen growers and supports research, innovation, and education within the National Strategy for Horticulture.",Local Food Initiatives,"Department Of Agriculture, Food And The Marine",Civil Society,"Department Of Agriculture, Food And The Marine"
MISSION 2,Viable & Resilient  Primary Producers  with Enhanced  Wellbeing,MISSION 2 GOAL 1,Improve the Competitiveness and Productivity of Primary Producers,MISSION 2 GOAL 1 ACTION 32,"Develop a strategy  to set out the road  map for the horticulture industry to 2030,   taking advantage of the growing demand for fruit and  vegetables, whole-foods and amenity; to increase  production and consumption of Irish produce on  the domestic market and, where possible, to take  advantage of expanding opportunities internationally.",National Strategy for Horticulture (2023 – 2027),Actively involved in the implementation of the National Strategy for Horticulture (2023-2027).,Local Food Initiatives,"Department Of Enterprise, Trade And Employment",Civil Society,"Department Of Business, Employment And Retail"
