_id,MISSION,MISSION STATEMENT,GOAL,GOAL STATEMENT,ACTION,ACTION STATEMENT,Formal Stakeholder,Category,Labels,Insert Datetime
68497bfb9b5e602eb0072dd0,MISSION 2,Viable & Resilient  Primary Producers  with Enhanced  Wellbeing,MISSION 2 GOAL 1,Improve the Competitiveness and Productivity of Primary Producers,MISSION 2 GOAL 1 ACTION 32,"Develop a strategy  to set out the road  map for the horticulture industry to 2030,   taking advantage of the growing demand for fruit and  vegetables, whole-foods and amenity; to increase  production and consumption of Irish produce on  the domestic market and, where possible, to take  advantage of expanding opportunities internationally.",Producers,Producers,Producers 022,2025-06-11T13:52:11.977Z
68497bfb9b5e602eb0072dd1,MISSION 2,Viable & Resilient  Primary Producers  with Enhanced  Wellbeing,MISSION 2 GOAL 1,Improve the Competitiveness and Productivity of Primary Producers,MISSION 2 GOAL 1 ACTION 32,"Develop a strategy  to set out the road  map for the horticulture industry to 2030,   taking advantage of the growing demand for fruit and  vegetables, whole-foods and amenity; to increase  production and consumption of Irish produce on  the domestic market and, where possible, to take  advantage of expanding opportunities internationally.",Growers,Inputs,Producers 014,2025-06-11T13:52:11.977Z
68497bfb9b5e602eb0072dd2,MISSION 2,Viable & Resilient  Primary Producers  with Enhanced  Wellbeing,MISSION 2 GOAL 1,Improve the Competitiveness and Productivity of Primary Producers,MISSION 2 GOAL 1 ACTION 32,"Develop a strategy  to set out the road  map for the horticulture industry to 2030,   taking advantage of the growing demand for fruit and  vegetables, whole-foods and amenity; to increase  production and consumption of Irish produce on  the domestic market and, where possible, to take  advantage of expanding opportunities internationally.",Healthy Ireland,Department of Health,Department of Health 003,2025-06-11T13:52:11.977Z
68497bfb9b5e602eb0072dd3,MISSION 2,Viable & Resilient  Primary Producers  with Enhanced  Wellbeing,MISSION 2 GOAL 1,Improve the Competitiveness and Productivity of Primary Producers,MISSION 2 GOAL 1 ACTION 32,"Develop a strategy  to set out the road  map for the horticulture industry to 2030,   taking advantage of the growing demand for fruit and  vegetables, whole-foods and amenity; to increase  production and consumption of Irish produce on  the domestic market and, where possible, to take  advantage of expanding opportunities internationally.",Farmers’ Markets,Sales and Retail,Sales and Retail 004,2025-06-11T13:52:11.977Z
68497bfb9b5e602eb0072dd4,MISSION 2,Viable & Resilient  Primary Producers  with Enhanced  Wellbeing,MISSION 2 GOAL 1,Improve the Competitiveness and Productivity of Primary Producers,MISSION 2 GOAL 1 ACTION 32,"Develop a strategy  to set out the road  map for the horticulture industry to 2030,   taking advantage of the growing demand for fruit and  vegetables, whole-foods and amenity; to increase  production and consumption of Irish produce on  the domestic market and, where possible, to take  advantage of expanding opportunities internationally.",Local Food Initiatives,Civil Society,Civil Society 010,2025-06-11T13:52:11.977Z
68497bfb9b5e602eb0072dd5,MISSION 2,Viable & Resilient  Primary Producers  with Enhanced  Wellbeing,MISSION 2 GOAL 1,Improve the Competitiveness and Productivity of Primary Producers,MISSION 2 GOAL 1 ACTION 32,"Develop a strategy  to set out the road  map for the horticulture industry to 2030,   taking advantage of the growing demand for fruit and  vegetables, whole-foods and amenity; to increase  production and consumption of Irish produce on  the domestic market and, where possible, to take  advantage of expanding opportunities internationally.",Teagasc The Agriculture and Food Development Authority,Semi-state agency,Semi-state agency 012,2025-06-11T13:52:11.977Z
68497bfb9b5e602eb0072dd6,MISSION 2,Viable & Resilient  Primary Producers  with Enhanced  Wellbeing,MISSION 2 GOAL 4,Improve the Social Sustainability of Primary Producers,MISSION 2 GOAL 4 ACTION 1,"Teagasc Sustainability Reporting  should broaden to incorporate issues  such as: generational renewal and  collaborative farming models; gender  balance; diversity and Inclusion;  education and training; and health and  safety (including incidence of farm  accidents, stress and rates of isolation).",Farmers,Small Producers,Producers 008,2025-06-11T13:52:11.977Z
68497bfb9b5e602eb0072dd7,MISSION 4,"An Innovative,  Competitive &  Resilient Agri-Food  Sector, Driven by  Technology and  Talent",MISSION 4 GOAL 7,Policy Coherence and Synergies in Sustainable Food Systems between Irelandâ€™s Domestic Policy and its Development Cooperation and Foreign Policy,MISSION 4 GOAL 7 ACTION 1,"Promoting food and nutrition security, and SFSs, will be a central part of delivering on Irelandâ€™s ambition of the achieving the UN aid target of 0.7% of GNI by 2030,",European Union,International organisation,International organisation 008,2025-06-11T13:52:11.977Z
68497bfb9b5e602eb0072dd8,MISSION 4,"An Innovative,  Competitive &  Resilient Agri-Food  Sector, Driven by  Technology and  Talent",MISSION 4 GOAL 7,Policy Coherence and Synergies in Sustainable Food Systems between Irelandâ€™s Domestic Policy and its Development Cooperation and Foreign Policy,MISSION 4 GOAL 7 ACTION 1,"Promoting food and nutrition security, and SFSs, will be a central part of delivering on Irelandâ€™s ambition of the achieving the UN aid target of 0.7% of GNI by 2030,",National Treatment Purchase Fund,State Agencies and Local Authorities,State Agencies and Local Authorities 009,2025-06-11T13:52:11.977Z
68497bfb9b5e602eb0072dd9,MISSION 4,"An Innovative,  Competitive &  Resilient Agri-Food  Sector, Driven by  Technology and  Talent",MISSION 4 GOAL 7,Policy Coherence and Synergies in Sustainable Food Systems between Irelandâ€™s Domestic Policy and its Development Cooperation and Foreign Policy,MISSION 4 GOAL 7 ACTION 1,"Promoting food and nutrition security, and SFSs, will be a central part of delivering on Irelandâ€™s ambition of the achieving the UN aid target of 0.7% of GNI by 2030,",Civil Society,Civil Society,Civil Society 003,2025-06-11T13:52:11.977Z
