_id,MISSION,MISSION STATEMENT,GOAL,GOAL STATEMENT,ACTION,ACTION STATEMENT,PROGRAMME,REPORT SUMMARY,Action Formal Stakeholder,Formal Stakeholder,Action Category,Report Category,Action Labels,Report Labels,Insert Datetime
684997c99b5e602eb0072f51,MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 3,"Protect High Status Sites and Contribute to the Protection and Restoration of Good Water Quality and Healthy Aquatic Ecosystems, as set out in the Water Framework Directive",MISSION 1 GOAL 3 ACTION 2,"To further protect waters, including  surface waters, from agricultural,  forestry and urban/industry pollution  (including microbiological pollution),  land use activities need to manage  and mitigate the losses of nitrogen,  phosphorous and sediment to water.",Agricultural Catchments Programme (ACP),"The Department of Agriculture, Food and the Marine funds and supports the implementation of the Agricultural Catchments Programme.",Farmers,"Department Of Agriculture, Food And The Marine",Producers,"Department Of Agriculture, Food And The Marine",Producers 008,"Department of Agriculture, Food and the Marine 004",2025-06-11T15:50:49.346Z
684997c99b5e602eb0072f52,MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 3,"Protect High Status Sites and Contribute to the Protection and Restoration of Good Water Quality and Healthy Aquatic Ecosystems, as set out in the Water Framework Directive",MISSION 1 GOAL 3 ACTION 2,"To further protect waters, including  surface waters, from agricultural,  forestry and urban/industry pollution  (including microbiological pollution),  land use activities need to manage  and mitigate the losses of nitrogen,  phosphorous and sediment to water.",Agricultural Sustainability Support and Advisory Programme (ASSAP),"The Department of Agriculture, Food and the Marine funds and supports the implementation of the Agricultural Catchments Programme.",Farmers,"Department Of Agriculture, Food And The Marine",Producers,"Department Of Agriculture, Food And The Marine",Producers 008,"Department of Agriculture, Food and the Marine 004",2025-06-11T15:50:49.346Z
684997c99b5e602eb0072f53,MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 3,"Protect High Status Sites and Contribute to the Protection and Restoration of Good Water Quality and Healthy Aquatic Ecosystems, as set out in the Water Framework Directive",MISSION 1 GOAL 3 ACTION 2,"To further protect waters, including  surface waters, from agricultural,  forestry and urban/industry pollution  (including microbiological pollution),  land use activities need to manage  and mitigate the losses of nitrogen,  phosphorous and sediment to water.",Agricultural Catchments Programme (ACP),"The Department of Agriculture, Food and the Marine funds and supports the implementation of the Agricultural Catchments Programme.",Forest Industries Ireland,"Department Of Agriculture, Food And The Marine",Semi-State Agency,"Department Of Agriculture, Food And The Marine",Semi-State Agency 006,"Department of Agriculture, Food and the Marine 004",2025-06-11T15:50:49.346Z
684997c99b5e602eb0072f54,MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 3,"Protect High Status Sites and Contribute to the Protection and Restoration of Good Water Quality and Healthy Aquatic Ecosystems, as set out in the Water Framework Directive",MISSION 1 GOAL 3 ACTION 2,"To further protect waters, including  surface waters, from agricultural,  forestry and urban/industry pollution  (including microbiological pollution),  land use activities need to manage  and mitigate the losses of nitrogen,  phosphorous and sediment to water.",Agricultural Sustainability Support and Advisory Programme (ASSAP),"The Department of Agriculture, Food and the Marine funds and supports the implementation of the Agricultural Catchments Programme.",Forest Industries Ireland,"Department Of Agriculture, Food And The Marine",Semi-State Agency,"Department Of Agriculture, Food And The Marine",Semi-State Agency 006,"Department of Agriculture, Food and the Marine 004",2025-06-11T15:50:49.346Z
684997c99b5e602eb0072f55,MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 3,"Protect High Status Sites and Contribute to the Protection and Restoration of Good Water Quality and Healthy Aquatic Ecosystems, as set out in the Water Framework Directive",MISSION 1 GOAL 3 ACTION 4,Support farmers to target the right  measure in the right place.,Agricultural Catchments Programme (ACP),"The Department of Agriculture, Food and the Marine funds and oversees the Agricultural Catchments Programme to monitor agricultural practices and has negotiated a new phase for its continuation.",Agricultural Sustainability Support And Advisory Programme,"Department Of Agriculture, Food And The Marine",Research And Regulatory,"Department Of Agriculture, Food And The Marine",Research and Regulatory 007,"Department of Agriculture, Food and the Marine 004",2025-06-11T15:50:49.346Z
684997c99b5e602eb0072f56,MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 3,"Protect High Status Sites and Contribute to the Protection and Restoration of Good Water Quality and Healthy Aquatic Ecosystems, as set out in the Water Framework Directive",MISSION 1 GOAL 3 ACTION 4,Support farmers to target the right  measure in the right place.,Agricultural Sustainability Support and Advisory Programme (ASSAP),"The Department of Agriculture, Food and the Marine funds and oversees the Agricultural Catchments Programme to monitor agricultural practices and has negotiated a new phase for its continuation.",Agricultural Sustainability Support And Advisory Programme,"Department Of Agriculture, Food And The Marine",Research And Regulatory,"Department Of Agriculture, Food And The Marine",Research and Regulatory 007,"Department of Agriculture, Food and the Marine 004",2025-06-11T15:50:49.346Z
684997c99b5e602eb0072f57,MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 3,"Protect High Status Sites and Contribute to the Protection and Restoration of Good Water Quality and Healthy Aquatic Ecosystems, as set out in the Water Framework Directive",MISSION 1 GOAL 3 ACTION 4,Support farmers to target the right  measure in the right place.,Agricultural Catchments Programme (ACP),"The Department of Agriculture, Food and the Marine funds and oversees the Agricultural Catchments Programme to monitor agricultural practices and has negotiated a new phase for its continuation.",Local Authority Waters Programme,"Department Of Agriculture, Food And The Marine",State Agencies And Local Authorities,"Department Of Agriculture, Food And The Marine",State Agencies and Local Authorities 005,"Department of Agriculture, Food and the Marine 004",2025-06-11T15:50:49.346Z
684997c99b5e602eb0072f58,MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 3,"Protect High Status Sites and Contribute to the Protection and Restoration of Good Water Quality and Healthy Aquatic Ecosystems, as set out in the Water Framework Directive",MISSION 1 GOAL 3 ACTION 4,Support farmers to target the right  measure in the right place.,Agricultural Sustainability Support and Advisory Programme (ASSAP),"The Department of Agriculture, Food and the Marine funds and oversees the Agricultural Catchments Programme to monitor agricultural practices and has negotiated a new phase for its continuation.",Local Authority Waters Programme,"Department Of Agriculture, Food And The Marine",State Agencies And Local Authorities,"Department Of Agriculture, Food And The Marine",State Agencies and Local Authorities 005,"Department of Agriculture, Food and the Marine 004",2025-06-11T15:50:49.346Z
684997c99b5e602eb0072f59,MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 3,"Protect High Status Sites and Contribute to the Protection and Restoration of Good Water Quality and Healthy Aquatic Ecosystems, as set out in the Water Framework Directive",MISSION 1 GOAL 3 ACTION 4,Support farmers to target the right  measure in the right place.,Agricultural Catchments Programme (ACP),"The Department of Agriculture, Food and the Marine funds and oversees the Agricultural Catchments Programme to monitor agricultural practices and has negotiated a new phase for its continuation.",Base Ireland,"Department Of Agriculture, Food And The Marine",Inputs,"Department Of Agriculture, Food And The Marine",Inputs 007,"Department of Agriculture, Food and the Marine 004",2025-06-11T15:50:49.346Z
684997c99b5e602eb0072f5a,MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 3,"Protect High Status Sites and Contribute to the Protection and Restoration of Good Water Quality and Healthy Aquatic Ecosystems, as set out in the Water Framework Directive",MISSION 1 GOAL 3 ACTION 4,Support farmers to target the right  measure in the right place.,Agricultural Sustainability Support and Advisory Programme (ASSAP),"The Department of Agriculture, Food and the Marine funds and oversees the Agricultural Catchments Programme to monitor agricultural practices and has negotiated a new phase for its continuation.",Base Ireland,"Department Of Agriculture, Food And The Marine",Inputs,"Department Of Agriculture, Food And The Marine",Inputs 007,"Department of Agriculture, Food and the Marine 004",2025-06-11T15:50:49.346Z
684997c99b5e602eb0072f5b,MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 3,"Protect High Status Sites and Contribute to the Protection and Restoration of Good Water Quality and Healthy Aquatic Ecosystems, as set out in the Water Framework Directive",MISSION 1 GOAL 3 ACTION 4,Support farmers to target the right  measure in the right place.,Agricultural Catchments Programme (ACP),"The Department of Agriculture, Food and the Marine funds and oversees the Agricultural Catchments Programme to monitor agricultural practices and has negotiated a new phase for its continuation.",Farming For Nature,"Department Of Agriculture, Food And The Marine",Ngo,"Department Of Agriculture, Food And The Marine",NGO 014,"Department of Agriculture, Food and the Marine 004",2025-06-11T15:50:49.346Z
684997c99b5e602eb0072f5c,MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 3,"Protect High Status Sites and Contribute to the Protection and Restoration of Good Water Quality and Healthy Aquatic Ecosystems, as set out in the Water Framework Directive",MISSION 1 GOAL 3 ACTION 4,Support farmers to target the right  measure in the right place.,Agricultural Sustainability Support and Advisory Programme (ASSAP),"The Department of Agriculture, Food and the Marine funds and oversees the Agricultural Catchments Programme to monitor agricultural practices and has negotiated a new phase for its continuation.",Farming For Nature,"Department Of Agriculture, Food And The Marine",Ngo,"Department Of Agriculture, Food And The Marine",NGO 014,"Department of Agriculture, Food and the Marine 004",2025-06-11T15:50:49.346Z
684997c99b5e602eb0072f5d,MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 3,"Protect High Status Sites and Contribute to the Protection and Restoration of Good Water Quality and Healthy Aquatic Ecosystems, as set out in the Water Framework Directive",MISSION 1 GOAL 3 ACTION 4,Support farmers to target the right  measure in the right place.,Agricultural Catchments Programme (ACP),"The Department of Agriculture, Food and the Marine funds and oversees the Agricultural Catchments Programme to monitor agricultural practices and has negotiated a new phase for its continuation.","Department Of Environment, Climate And Communications","Department Of Agriculture, Food And The Marine","Department Of Environment, Climate And Communications","Department Of Agriculture, Food And The Marine","Department of Environment, Climate and Communications 004","Department of Agriculture, Food and the Marine 004",2025-06-11T15:50:49.346Z
684997c99b5e602eb0072f5e,MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 3,"Protect High Status Sites and Contribute to the Protection and Restoration of Good Water Quality and Healthy Aquatic Ecosystems, as set out in the Water Framework Directive",MISSION 1 GOAL 3 ACTION 4,Support farmers to target the right  measure in the right place.,Agricultural Sustainability Support and Advisory Programme (ASSAP),"The Department of Agriculture, Food and the Marine funds and oversees the Agricultural Catchments Programme to monitor agricultural practices and has negotiated a new phase for its continuation.","Department Of Environment, Climate And Communications","Department Of Agriculture, Food And The Marine","Department Of Environment, Climate And Communications","Department Of Agriculture, Food And The Marine","Department of Environment, Climate and Communications 004","Department of Agriculture, Food and the Marine 004",2025-06-11T15:50:49.346Z
684997c99b5e602eb0072f5f,MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 3,"Protect High Status Sites and Contribute to the Protection and Restoration of Good Water Quality and Healthy Aquatic Ecosystems, as set out in the Water Framework Directive",MISSION 1 GOAL 3 ACTION 4,Support farmers to target the right  measure in the right place.,Agricultural Catchments Programme (ACP),"The Department of Agriculture, Food and the Marine funds and oversees the Agricultural Catchments Programme to monitor agricultural practices and has negotiated a new phase for its continuation.",Common Agricultural Policy,"Department Of Agriculture, Food And The Marine",European Union (Eu),"Department Of Agriculture, Food And The Marine",European Union (EU) 001,"Department of Agriculture, Food and the Marine 004",2025-06-11T15:50:49.346Z
684997c99b5e602eb0072f60,MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 3,"Protect High Status Sites and Contribute to the Protection and Restoration of Good Water Quality and Healthy Aquatic Ecosystems, as set out in the Water Framework Directive",MISSION 1 GOAL 3 ACTION 4,Support farmers to target the right  measure in the right place.,Agricultural Sustainability Support and Advisory Programme (ASSAP),"The Department of Agriculture, Food and the Marine funds and oversees the Agricultural Catchments Programme to monitor agricultural practices and has negotiated a new phase for its continuation.",Common Agricultural Policy,"Department Of Agriculture, Food And The Marine",European Union (Eu),"Department Of Agriculture, Food And The Marine",European Union (EU) 001,"Department of Agriculture, Food and the Marine 004",2025-06-11T15:50:49.346Z
684997c99b5e602eb0072f61,MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 3,"Protect High Status Sites and Contribute to the Protection and Restoration of Good Water Quality and Healthy Aquatic Ecosystems, as set out in the Water Framework Directive",MISSION 1 GOAL 3 ACTION 4,Support farmers to target the right  measure in the right place.,Agricultural Catchments Programme (ACP),"The Department of Agriculture, Food and the Marine funds and oversees the Agricultural Catchments Programme to monitor agricultural practices and has negotiated a new phase for its continuation.",Rural Development Programme,"Department Of Agriculture, Food And The Marine",Department Of Rural And Community Development,"Department Of Agriculture, Food And The Marine",Department of Rural and Community Development 002,"Department of Agriculture, Food and the Marine 004",2025-06-11T15:50:49.346Z
684997c99b5e602eb0072f62,MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 3,"Protect High Status Sites and Contribute to the Protection and Restoration of Good Water Quality and Healthy Aquatic Ecosystems, as set out in the Water Framework Directive",MISSION 1 GOAL 3 ACTION 4,Support farmers to target the right  measure in the right place.,Agricultural Sustainability Support and Advisory Programme (ASSAP),"The Department of Agriculture, Food and the Marine funds and oversees the Agricultural Catchments Programme to monitor agricultural practices and has negotiated a new phase for its continuation.",Rural Development Programme,"Department Of Agriculture, Food And The Marine",Department Of Rural And Community Development,"Department Of Agriculture, Food And The Marine",Department of Rural and Community Development 002,"Department of Agriculture, Food and the Marine 004",2025-06-11T15:50:49.346Z
684997c99b5e602eb0072f63,MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 5,Enhance the Environmental Sustainability of the Seafood Sector,MISSION 1 GOAL 5 ACTION 6,"Follow the 11 objectives of the new  National Strategic Plan for sustainable  Aquaculture (NSPA) development for  the period 2021 - 2030    (Administrative procedures, Spatial planning and  access to water, Consumer information, Producers  and market organisation, Human and animal health  and welfare, Environmental performance, Climate  change, Innovation, Control of aquaculture products,  Integration of aquaculture in the local economy and  Data and monitoring).",National Strategic Plan for Sustainable Aquaculture Development 2030,Implements the programme through the publication and rollout of the National Strategic Plan for Sustainable Aquaculture Development.,Irish National Inshore Fisheries Forum,"Department Of Agriculture, Food And The Marine",Trade Association,"Department Of Agriculture, Food And The Marine",Trade Association 014,"Department of Agriculture, Food and the Marine 004",2025-06-11T15:50:49.346Z
