_id,RECOMMENDATION,Short Recommendation,Action,Short Action,Formal Stakeholder,Category,Labels,Insert Datetime
6849698b9b5e602eb0072bee,"Recognising Agriculture’s role in ongoing National, EU and International Climate Change and Energy Policy Development",Recognise agriculture's climate policy role,DAFM to finalise a sectoral plan for agriculture and forestry to inform the National Mitigation Plan under the National Climate Action and Low_x0002_Carbon Development Bill.,Finalise agriculture mitigation sectoral plan,"Department Of Agriculture, Food And The Marine","Department Of Agriculture, Food And The Marine","Department of Agriculture, Food and the Marine 004",2025-06-19T12:33:31.322Z
6849698b9b5e602eb0072bef,"Recognising Agriculture’s role in ongoing National, EU and International Climate Change and Energy Policy Development",Recognise agriculture's climate policy role,DAFM to continue active participation in multi-stakeholder ‘Global Alliance for Climate Smart Agriculture’ which is promoting the application of climate smart approaches to agriculture production systems.,Continue participation in global alliance,"Department Of Agriculture, Food And The Marine","Department Of Agriculture, Food And The Marine","Department of Agriculture, Food and the Marine 004",2025-06-19T12:33:31.322Z
6849698b9b5e602eb0072bf0,"Recognising Agriculture’s role in ongoing National, EU and International Climate Change and Energy Policy Development",Recognise agriculture's climate policy role,DAFM to continue active participation in multi-stakeholder ‘Global Alliance for Climate Smart Agriculture’ which is promoting the application of climate smart approaches to agriculture production systems.,Continue participation in global alliance,Global Research Alliance,Research And Regulatory,Research and Regulatory 041,2025-06-19T12:33:31.322Z
6849698b9b5e602eb0072bf1,"Recognising Agriculture’s role in ongoing National, EU and International Climate Change and Energy Policy Development",Recognise agriculture's climate policy role,"DAFM to continue to work closely with DCENR, as part of National Bioenergy Plan discussions, to assess supply side issues related to the potential of bioenergy from the agriculture and forestry sectors and develop farm-scale renewables. DAFM will continue to support afforestation and mobilisation measures under the Forestry Programme 2014-2020 and encourage the innovative use of animal by-products (ABP) for energy production",Assess bioenergy potential and support,"Department Of Agriculture, Food And The Marine","Department Of Agriculture, Food And The Marine","Department of Agriculture, Food and the Marine 004",2025-06-19T12:33:31.322Z
6849698b9b5e602eb0072bf2,"Recognising Agriculture’s role in ongoing National, EU and International Climate Change and Energy Policy Development",Recognise agriculture's climate policy role,"DAFM to continue to work closely with DCENR, as part of National Bioenergy Plan discussions, to assess supply side issues related to the potential of bioenergy from the agriculture and forestry sectors and develop farm-scale renewables. DAFM will continue to support afforestation and mobilisation measures under the Forestry Programme 2014-2020 and encourage the innovative use of animal by-products (ABP) for energy production",Assess bioenergy potential and support,"Department Of Communications, Energy And Natural Resources","Department Of Communications, Energy And Natural Resources","Department of Communications, Energy and Natural Resources 001",2025-06-19T12:33:31.322Z
6849698b9b5e602eb0072bf3,"Recognising Agriculture’s role in ongoing National, EU and International Climate Change and Energy Policy Development",Recognise agriculture's climate policy role,"DAFM to continue to work closely with DCENR, as part of National Bioenergy Plan discussions, to assess supply side issues related to the potential of bioenergy from the agriculture and forestry sectors and develop farm-scale renewables. DAFM will continue to support afforestation and mobilisation measures under the Forestry Programme 2014-2020 and encourage the innovative use of animal by-products (ABP) for energy production",Assess bioenergy potential and support,"Department Of Agriculture, Food And The Marine","Department Of Agriculture, Food And The Marine","Department of Agriculture, Food and the Marine 004",2025-06-19T12:33:31.322Z
6849698b9b5e602eb0072bf4,"Recognising Agriculture’s role in ongoing National, EU and International Climate Change and Energy Policy Development",Recognise agriculture's climate policy role,"DAFM to continue to work closely with DCENR, as part of National Bioenergy Plan discussions, to assess supply side issues related to the potential of bioenergy from the agriculture and forestry sectors and develop farm-scale renewables. DAFM will continue to support afforestation and mobilisation measures under the Forestry Programme 2014-2020 and encourage the innovative use of animal by-products (ABP) for energy production",Assess bioenergy potential and support,Forest Industries Ireland,Semi-State Agency,Semi-State Agency 006,2025-06-19T12:33:31.322Z
6849698b9b5e602eb0072bf5,"Recognising Agriculture’s role in ongoing National, EU and International Climate Change and Energy Policy Development",Recognise agriculture's climate policy role,DAFM in conjunction with other agencies should maximise their use of scientific expertise to actively engage in international networks and research groups to find new ways to account for and reduce emissions.,Engage internationally to reduce emissions,"Department Of Agriculture, Food And The Marine","Department Of Agriculture, Food And The Marine","Department of Agriculture, Food and the Marine 004",2025-06-19T12:33:31.322Z
6849698b9b5e602eb0072bf6,Measurement of Ireland’s environmental sustainability credentials,Measure environmental sustainability metrics,"Continued updating on an annual basis of Teagasc National Farm Survey sustainability indicators, including further development of a wider spectrum of appropriate indicators and activity data to more accurately measure environmental sustainability and contribute to development and enhancement of GHG and ammonia inventories.",Update sustainability indicators annually,Teagasc The Agriculture And Food Development Authority,Semi-State Agency,Semi-state agency 012,2025-06-19T12:33:31.322Z
6849698b9b5e602eb0072bf7,Measurement of Ireland’s environmental sustainability credentials,Measure environmental sustainability metrics,Update Teagasc’s Marginal Abatement Cost Curve for Irish agriculture on a more frequent basis to ensure the latest technological developments help inform an assessment of a wider range of GHG mitigation measures that could be rolled out at farm level,Update agriculture cost curve frequently,Teagasc The Agriculture And Food Development Authority,Semi-State Agency,Semi-state agency 012,2025-06-19T12:33:31.322Z
6849698b9b5e602eb0072bf8,Measurement of Ireland’s environmental sustainability credentials,Measure environmental sustainability metrics,"Continue to enhance and roll out at farm level the Carbon Navigator Initiative which provides online software to assist farmers in understanding how their farms produce GHG emissions, identify mitigation capacity and to set targets and a pathway to reduce emissions. Teagasc in conjunction with other stakeholders to examine whether the navigator tool could be used to measure other important environmental parameters such as biodiversity",Enhance and expand Carbon Navigator,Teagasc The Agriculture And Food Development Authority,Semi-State Agency,Semi-state agency 012,2025-06-19T12:33:31.322Z
6849698b9b5e602eb0072bf9,Develop and support Agri-food processing sector in delivering sustainable processes and outputs,Support sustainable agri-food processing,"As part of the Europe 2020 strategy, BIM will introduce schemes in compliance with the EMFF to support investments in equipment or in fishing or aquaculture vessels aimed at reducing the emission of pollutants or GHG and/or increasing energy efficiency. This may include support for the modernisation and replacement of fleet engines.",Introduce schemes for vessel efficiency,Bord Iascaigh Mhara,Semi-State Agency,Semi-State Agency 002,2025-06-19T12:33:31.322Z
6849698b9b5e602eb0072bfa,Implementation of Environmental Elements of Ireland’s National Programmes and the EU co-funded Rural Development Programme 2014-2020,Implement environmental programme elements,"Uptake of GLAS should be maximised to help enhance the natural environment through, inter alia, retaining carbon stocks in the soil, margins/habitat preservation and improving water quality to ensure compliance with the Water Framework Directive. Uptake on other RDP initiatives such as, organic farming, priority freshwater pearl mussel catchment sites and the Burren farming for conservation project should also be maximised as separate key RDP enabling instruments to achieve environmental objectives.",Maximise uptake of green schemes,"Green, Lowcarbon, Agrienvironment Scheme","Department Of Agriculture, Food And The Marine","Department of Agriculture, Food and the Marine 005",2025-06-19T12:33:31.322Z
6849698b9b5e602eb0072bfb,Implementation of Environmental Elements of Ireland’s National Programmes and the EU co-funded Rural Development Programme 2014-2020,Implement environmental programme elements,"Uptake of GLAS should be maximised to help enhance the natural environment through, inter alia, retaining carbon stocks in the soil, margins/habitat preservation and improving water quality to ensure compliance with the Water Framework Directive. Uptake on other RDP initiatives such as, organic farming, priority freshwater pearl mussel catchment sites and the Burren farming for conservation project should also be maximised as separate key RDP enabling instruments to achieve environmental objectives.",Maximise uptake of green schemes,Rural Development Programme,Department Of Rural And Community Development,Department of Rural and Community Development 002,2025-06-19T12:33:31.322Z
6849698b9b5e602eb0072bfc,Beef,Beef,"Leverage the benefits of the recent adoption of genomics technology in the beef sector to improve the genetic quality of the national breeding herd though inter alia, maximising participation in the Beef Data and Genomics Programme, to help lower emissions and improve farm competiveness",Leverage genomics to improve herd,Beef Data And Genomics Programme,Research And Regulatory,Research and Regulatory 016,2025-06-19T12:33:31.322Z
6849698b9b5e602eb0072bfd,Sheep,Sheep,"Develop strong reputation for quality and environmental sustainability of Irish beef with customers, competent authorities in target markets and NGOs building on the Sustainable Beef and Lamb Assurance Scheme (Origin Green) and optimise the use of this brand reputation in the market place",Promote sustainable Irish beef brand,Sustainable Beef And Lamb Assurance Scheme,"Department Of Agriculture, Food And The Marine","Department of Agriculture, Food and the Marine 008",2025-06-19T12:33:31.322Z
