RECOMMENDATION,Short Recommendation,Action,Short Action,Formal Stakeholder,Category,Insert Datetime
Improvement of Environmental footprint of Sector,Improvement of Environmental footprint of Sector,"DAFM to continue close cooperation with Department of Environment, Community and Local Government (DECLG) and the EPA on the delivery of the Water Framework Directive, in particular on development of the second phase River Basin Management Plans.",Cooperate on River Basin Plans,"Department Of Agriculture, Food And The Marine","Department Of Agriculture, Food And The Marine",2025-06-19T12:33:33.474Z
Improvement of Environmental footprint of Sector,Improvement of Environmental footprint of Sector,"DAFM to continue close cooperation with Department of Environment, Community and Local Government (DECLG) and the EPA on the delivery of the Water Framework Directive, in particular on development of the second phase River Basin Management Plans.",Cooperate on River Basin Plans,"Department Of Environment, Climate And Communications","Department Of Environment, Climate And Communications",2025-06-19T12:33:33.474Z
Improvement of Environmental footprint of Sector,Improvement of Environmental footprint of Sector,"DAFM to continue close cooperation with Department of Environment, Community and Local Government (DECLG) and the EPA on the delivery of the Water Framework Directive, in particular on development of the second phase River Basin Management Plans.",Cooperate on River Basin Plans,"Department Of The Environment, Community And Local Government","Department Of The Environment, Community And Local Government",2025-06-19T12:33:33.474Z
Improvement of Environmental footprint of Sector,Improvement of Environmental footprint of Sector,"DAFM to continue close cooperation with Department of Environment, Community and Local Government (DECLG) and the EPA on the delivery of the Water Framework Directive, in particular on development of the second phase River Basin Management Plans.",Cooperate on River Basin Plans,Environmental Protection Agency,State Agencies ,2025-06-19T12:33:33.474Z
Improvement of Environmental footprint of Sector,Improvement of Environmental footprint of Sector,"Teagasc to develop and rollout a Nutrient Management software tool to enhance cost-effective use of feed, fertiliser and slurry to minimise nitrogen (nitrate, ammonia and nitrous oxide) and phosphorus losses.",Develop nutrient management software tool,Teagasc The Agriculture And Food Development Authority,Semi-State Agency,2025-06-19T12:33:33.474Z
Improvement of Environmental footprint of Sector,Improvement of Environmental footprint of Sector,Teagasc to develop soil specific advice for both organic and inorganic manure use to take account of mineralisation across soils to help inform optimal fertiliser application rates and timing.,Develop soil-specific fertiliser advice,Teagasc The Agriculture And Food Development Authority,Semi-State Agency,2025-06-19T12:33:33.474Z
Improvement of Environmental footprint of Sector,Improvement of Environmental footprint of Sector,Teagasc to carry out a soil nutrient census to track soil fertility trends.,Conduct soil nutrient census,Teagasc The Agriculture And Food Development Authority,Semi-State Agency,2025-06-19T12:33:33.474Z
Improvement of Environmental footprint of Sector,Improvement of Environmental footprint of Sector,"DAFM to work closely with responsible agencies to monitor potential localised/regionalised impacts of dairy herd expansion on water quality and to develop mitigation measures, in conjunction with the scientific findings from the Agricultural Catchments Programme.",Monitor dairy impacts and mitigate,"Department Of Agriculture, Food And The Marine","Department Of Agriculture, Food And The Marine",2025-06-19T12:33:33.474Z
Improvement of Environmental footprint of Sector,Improvement of Environmental footprint of Sector,Teagasc to enhance PastureBase Ireland tool as a resource to help improve grassland and nitrogen management and increase grass utilisation.,Enhance PastureBase for grass use,Teagasc The Agriculture And Food Development Authority,Semi-State Agency,2025-06-19T12:33:33.474Z
Implementation of Environmental Elements of Irelandâ€™s National Programmes and the EU co-funded Rural Development Programme 2014-2027,Implement environmental programme measures,"In relation to the LIFE programme, DAFM will maintain close contact with DECLG, DAHG and other relevant stakeholders to ensure that any biodiversity, climate or water quality actions are appropriately targeted and implemented",Coordinate biodiversity and climate actions,"Department Of Agriculture, Food And The Marine","Department Of Agriculture, Food And The Marine",2025-06-19T12:33:33.474Z
Implementation of Environmental Elements of Irelandâ€™s National Programmes and the EU co-funded Rural Development Programme 2014-2027,Implement environmental programme measures,"In relation to the LIFE programme, DAFM will maintain close contact with DECLG, DAHG and other relevant stakeholders to ensure that any biodiversity, climate or water quality actions are appropriately targeted and implemented",Coordinate biodiversity and climate actions,"Department Of The Environment, Community And Local Government","Department Of The Environment, Community And Local Government",2025-06-19T12:33:33.474Z
Implementation of Environmental Elements of Irelandâ€™s National Programmes and the EU co-funded Rural Development Programme 2014-2027,Implement environmental programme measures,"In relation to the LIFE programme, DAFM will maintain close contact with DECLG, DAHG and other relevant stakeholders to ensure that any biodiversity, climate or water quality actions are appropriately targeted and implemented",Coordinate biodiversity and climate actions,"Department Of Arts, Heritage, Regional, Rural And Gaeltacht Affairs","Department Of Arts, Heritage, Regional, Rural And Gaeltacht Affairs",2025-06-19T12:33:33.474Z
