Document,Document Name,Author,Year,Primary Formal Name,Secondary Formal Name,Context,Tag,Primary Category,Secondary Category
Climate Change and Sustainability in the Agriculture and Food Sectors,D4,"Joint Committee on Agriculture, Food and the Marine",2018,Dairy Industry Ireland,Dairy Sustainability Ireland,Dairy Industry Ireland described Dairy Sustainability Ireland as a collaborative initiative aimed at enhancing dairy farm sustainability through industry and government partnership.,Collaboration,Trade Association,Trade Association
Climate Change and Sustainability in the Agriculture and Food Sectors,D4,"Joint Committee on Agriculture, Food and the Marine",2018,Dairy Industry Ireland,Dairy Sustainability Ireland,Dairy Industry Ireland described Dairy Sustainability Ireland as a collaborative initiative aimed at enhancing dairy farm sustainability through industry and government partnership.,Collaboration,Trade Association,Trade Association
Climate Change and Sustainability in the Agriculture and Food Sectors,D4,"Joint Committee on Agriculture, Food and the Marine",2018,Dairy Industry Ireland,Dairy Sustainability Ireland,Dairy Industry Ireland described Dairy Sustainability Ireland as a collaborative initiative aimed at enhancing dairy farm sustainability through industry and government partnership.,Collaboration,Trade Association,Trade Association
Climate Change and Sustainability in the Agriculture and Food Sectors,D4,"Joint Committee on Agriculture, Food and the Marine",2018,Dairy Industry Ireland,Dairy Sustainability Ireland,Dairy Industry Ireland described Dairy Sustainability Ireland as a collaborative initiative aimed at enhancing dairy farm sustainability through industry and government partnership.,Collaboration,Trade Association,Trade Association
Climate Change and Sustainability in the Agriculture and Food Sectors,D4,"Joint Committee on Agriculture, Food and the Marine",2018,Government Of Ireland,Sustainability And Advisory Service,"The Government's initiative, the Sustainability and Advisory Service, is aligned with the Dairy Sustainability Ireland initiative, emphasizing collaboration for dairy farm sustainability.",Collaboration,Government Of Ireland,Research And Regulatory
Climate Change and Sustainability in the Agriculture and Food Sectors,D4,"Joint Committee on Agriculture, Food and the Marine",2018,Teagasc The Agriculture And Food Development Authority,Dairy Farmers,"Teagasc provides resources, such as the Dairy Beef Index, to assist dairy farmers in selecting suitable beef sires for their dairy cows.",Supports,Semi-State Agency,Producers
Climate Change and Sustainability in the Agriculture and Food Sectors,D4,"Joint Committee on Agriculture, Food and the Marine",2018,Teagasc The Agriculture And Food Development Authority,Dairy Farmers,"Teagasc provides resources, such as the Dairy Beef Index, to assist dairy farmers in selecting suitable beef sires for their dairy cows.",Supports,Semi-State Agency,Producers
Climate Change and Sustainability in the Agriculture and Food Sectors,D4,"Joint Committee on Agriculture, Food and the Marine",2018,Teagasc The Agriculture And Food Development Authority,Dairy Farmers,"Teagasc provides resources, such as the Dairy Beef Index, to assist dairy farmers in selecting suitable beef sires for dairy cows.",Supports,Semi-State Agency,Producers
Climate Change and Sustainability in the Agriculture and Food Sectors,D4,"Joint Committee on Agriculture, Food and the Marine",2018,Teagasc The Agriculture And Food Development Authority,Dairy Farmers,"Teagasc provides resources, such as the Dairy Beef Index, to assist dairy farmers in selecting suitable beef sires for dairy cows.",Supports,Semi-State Agency,Producers
Climate Change and Sustainability in the Agriculture and Food Sectors,D4,"Joint Committee on Agriculture, Food and the Marine",2018,Dairy Industry Ireland,Dairy Sustainability Ireland,Dairy Industry Ireland described Dairy Sustainability Ireland as a collaborative initiative aimed at enhancing dairy farm sustainability economically and environmentally.,Collaboration,Trade Association,Trade Association
Climate Change and Sustainability in the Agriculture and Food Sectors,D4,"Joint Committee on Agriculture, Food and the Marine",2018,Dairy Industry Ireland,Dairy Sustainability Ireland,Dairy Industry Ireland described Dairy Sustainability Ireland as a collaborative initiative aimed at enhancing dairy farm sustainability economically and environmentally.,Collaboration,Trade Association,Trade Association
Climate Change and Sustainability in the Agriculture and Food Sectors,D4,"Joint Committee on Agriculture, Food and the Marine",2018,Dairy Industry Ireland,Dairy Sustainability Ireland,Dairy Industry Ireland described Dairy Sustainability Ireland as a collaborative initiative aimed at enhancing dairy farm sustainability economically and environmentally.,Collaboration,Trade Association,Trade Association
Climate Change and Sustainability in the Agriculture and Food Sectors,D4,"Joint Committee on Agriculture, Food and the Marine",2018,Dairy Industry Ireland,Dairy Sustainability Ireland,Dairy Industry Ireland described Dairy Sustainability Ireland as a collaborative initiative aimed at enhancing dairy farm sustainability economically and environmentally.,Collaboration,Trade Association,Trade Association
Climate Change and Sustainability in the Agriculture and Food Sectors,D4,"Joint Committee on Agriculture, Food and the Marine",2018,Government Of Ireland,Sustainability And Advisory Service,"The Government's initiative called the Sustainability and Advisory Service is aligned with the Dairy Sustainability Ireland initiative, emphasizing collaboration for dairy farm sustainability.",Collaboration,Government Of Ireland,Research And Regulatory
Climate Change and Sustainability in the Agriculture and Food Sectors,D4,"Joint Committee on Agriculture, Food and the Marine",2018,Dairy Industry Ireland,Dairy Sustainability Ireland,Dairy Industry Ireland described Dairy Sustainability Ireland as a collaborative initiative aimed at enhancing dairy farm sustainability economically and environmentally.,Collaboration,Trade Association,Trade Association
Climate Change and Sustainability in the Agriculture and Food Sectors,D4,"Joint Committee on Agriculture, Food and the Marine",2018,Dairy Industry Ireland,Dairy Sustainability Ireland,Dairy Industry Ireland described Dairy Sustainability Ireland as a collaborative initiative aimed at enhancing dairy farm sustainability economically and environmentally.,Collaboration,Trade Association,Trade Association
Climate Change and Sustainability in the Agriculture and Food Sectors,D4,"Joint Committee on Agriculture, Food and the Marine",2018,Dairy Industry Ireland,Dairy Sustainability Ireland,Dairy Industry Ireland described Dairy Sustainability Ireland as a collaborative initiative aimed at enhancing dairy farm sustainability economically and environmentally.,Collaboration,Trade Association,Trade Association
Climate Change and Sustainability in the Agriculture and Food Sectors,D4,"Joint Committee on Agriculture, Food and the Marine",2018,Dairy Industry Ireland,Dairy Sustainability Ireland,Dairy Industry Ireland described Dairy Sustainability Ireland as a collaborative initiative aimed at enhancing dairy farm sustainability economically and environmentally.,Collaboration,Trade Association,Trade Association
Climate Change and Sustainability in the Agriculture and Food Sectors,D4,"Joint Committee on Agriculture, Food and the Marine",2018,Government Of Ireland,Sustainability And Advisory Service,"The Government's initiative called the Sustainability and Advisory Service is aligned with the Dairy Sustainability Ireland initiative, which aims to enhance dairy farm sustainability.",Supports,Government Of Ireland,Research And Regulatory
Climate Change and Sustainability in the Agriculture and Food Sectors,D4,"Joint Committee on Agriculture, Food and the Marine",2018,Teagasc The Agriculture And Food Development Authority,Irish Cattle Breeding Federation,Teagasc and the Irish Cattle Breeding Federation cooperate closely on the Beef Data and Genomics Programme to improve cattle productivity and reduce greenhouse gas emissions.,Collaboration,Semi-State Agency,Research And Regulatory
Climate Change and Sustainability in the Agriculture and Food Sectors,D4,"Joint Committee on Agriculture, Food and the Marine",2018,Teagasc The Agriculture And Food Development Authority,Irish Cattle Breeding Federation,Teagasc and the Irish Cattle Breeding Federation cooperate closely on the Beef Data and Genomics Programme to improve cattle productivity and reduce greenhouse gas emissions.,Collaboration,Semi-State Agency,Research And Regulatory
Climate Change and Sustainability in the Agriculture and Food Sectors,D4,"Joint Committee on Agriculture, Food and the Marine",2018,Teagasc The Agriculture And Food Development Authority,Irish Cattle Breeding Federation,Teagasc and the Irish Cattle Breeding Federation cooperate closely on the Beef Data and Genomics Programme to improve cattle productivity and reduce greenhouse gas emissions.,Collaboration,Semi-State Agency,Research And Regulatory
Climate Change and Sustainability in the Agriculture and Food Sectors,D4,"Joint Committee on Agriculture, Food and the Marine",2018,Teagasc The Agriculture And Food Development Authority,Irish Cattle Breeding Federation,Teagasc and the Irish Cattle Breeding Federation cooperate closely on the Beef Data and Genomics Programme to improve cattle productivity and reduce greenhouse gas emissions.,Collaboration,Semi-State Agency,Research And Regulatory
Climate Change and Sustainability in the Agriculture and Food Sectors,D4,"Joint Committee on Agriculture, Food and the Marine",2018,Bord Bia The Irish Food Board,Irish Dairy Sector,"Bord Bia highlights the efficiency of the Irish dairy sector, noting that over 90% of its products are exported globally due to Ireland's favorable grass-based production model.",Supports,"Branding, Marketing And Distribution",Trade Association
Climate Change and Sustainability in the Agriculture and Food Sectors,D4,"Joint Committee on Agriculture, Food and the Marine",2018,Bord Bia The Irish Food Board,Irish Dairy Sector,"Bord Bia highlights the efficiency of the Irish dairy sector, noting that over 90% of its products are exported globally due to Ireland's favorable grass-based production model.",Supports,"Branding, Marketing And Distribution",Trade Association
Climate Change and Sustainability in the Agriculture and Food Sectors,D4,"Joint Committee on Agriculture, Food and the Marine",2018,"Department Of Agriculture, Food And The Marine",Dairy Industry Ireland,"The Department of Agriculture, Food and the Marine discussed the inclusion rate with Dairy Industry Ireland during a committee meeting.",Discusses,"Department Of Agriculture, Food And The Marine",Trade Association
Climate Change and Sustainability in the Agriculture and Food Sectors,D4,"Joint Committee on Agriculture, Food and the Marine",2018,"Department Of Agriculture, Food And The Marine",Dairy Industry Ireland,"The Department of Agriculture, Food and the Marine discussed the inclusion rate with Dairy Industry Ireland during a committee meeting.",Discusses,"Department Of Agriculture, Food And The Marine",Trade Association
Climate Change and Sustainability in the Agriculture and Food Sectors,D4,"Joint Committee on Agriculture, Food and the Marine",2018,"Department Of Agriculture, Food And The Marine",Dairy Industry Ireland,"The Department of Agriculture, Food and the Marine discussed the inclusion rate with Dairy Industry Ireland during a committee meeting.",Discusses,"Department Of Agriculture, Food And The Marine",Trade Association
Climate Change and Sustainability in the Agriculture and Food Sectors,D4,"Joint Committee on Agriculture, Food and the Marine",2018,"Department Of Agriculture, Food And The Marine",Dairy Industry Ireland,"The Department of Agriculture, Food and the Marine discussed the inclusion rate with Dairy Industry Ireland during a committee meeting.",Discusses,"Department Of Agriculture, Food And The Marine",Trade Association
Climate Change and Sustainability in the Agriculture and Food Sectors,D4,"Joint Committee on Agriculture, Food and the Marine",2018,"Department Of Agriculture, Food And The Marine",Dairy Industry Ireland,"The Department of Agriculture, Food and the Marine discussed the inclusion rate with Dairy Industry Ireland during a committee meeting.",Discusses,"Department Of Agriculture, Food And The Marine",Trade Association
