Speaker,Topic Thoughts,Sentiment,Labels,Category
Ms Justice Mary Laffoy,"The speaker supports a balanced approach to carbon emissions in agriculture, advocating for a tax on emissions while also rewarding farmers for carbon-sequestering practices and ensuring a just transition.",Support,"Justice (Retired), Supreme Court of Ireland, Research and Regulatory",Research and Regulatory
Ms Justice Mary Laffoy,"The speaker supports a balanced approach to agriculture and sustainability, advocating for a tax on greenhouse gas emissions while also promoting rewards for carbon-sequestering land management practices.",Support,"Justice (Retired), Supreme Court of Ireland, Research and Regulatory",Research and Regulatory
Ms Justice Mary Laffoy,"The speaker supports a balanced approach to agriculture and sustainability, advocating for a tax on greenhouse gas emissions while also rewarding farmers for carbon-sequestering land management practices.",Support,"Justice (Retired), Supreme Court of Ireland, Research and Regulatory",Research and Regulatory
Deputy Paul Murphy,The speaker believes that Ireland is lagging in addressing climate change and that political actions contradict the need for urgent climate action.,Oppose,"Deputy (TD), People Before Profit Alliance, Political Party",Political Party
Deputy Paul Murphy,The speaker believes that Ireland is lagging in addressing carbon emissions and climate change compared to other EU member states.,Oppose,"Deputy (TD), People Before Profit Alliance, Political Party",Political Party
Deputy Pat Deering,The speaker expresses concern about balancing agricultural production targets with greenhouse gas emissions.,Neutral,"Deputy (TD), Former Chair of the Joint Oireachtas Committee on Agriculture, Food and the Marine, Fine Gael, Carlow",Political Party
Senator Michelle Mulherin,The speaker acknowledges the need for carbon efficiency in food production but expresses concern about the burden of additional carbon taxes on farmers.,Oppose,"Senator, Seanad Eireann (Senate of Ireland)",Seanad Eireann
Senator Michelle Mulherin,The speaker acknowledges the need for carbon efficiency in food production but is concerned about the burden of carbon taxes on farmers.,Oppose,"Senator, Seanad Eireann (Senate of Ireland)",Seanad Eireann
Professor Alan Barrett,The speaker indicates that there is no evidence of significant decoupling between economic growth and greenhouse gas emissions.,Neutral,"Director, Economic and Social Research Institute (ESRI), Research and Regulatory",Research and Regulatory
Dr. Kelly de Bruin,"The speaker believes that mitigation policies are more significant in reducing emissions than economic growth, which can complicate achieving emissions goals.",Neutral,"Senior Research Officer, Economic and Social Research Institute (ESRI), Research and Regulatory",Research and Regulatory
Deputy Timmy Dooley,The speaker believes that simply increasing the price of carbon will not effectively address issues like range anxiety for electric vehicles.,Oppose,"Deputy (TD), Fianna Fáil, Clare",Political Party
Dr. John Curtis,Supports the need for higher carbon taxation to achieve future targets while minimizing economic impact.,Support,"Research Officer, Economic and Social Research Institute (ESRI), Research and Regulatory",Research and Regulatory
Dr. John Curtis,The speaker acknowledges the need for higher carbon taxation to achieve future targets but believes it can be managed without detrimental economic impact.,Support,"Research Officer, Economic and Social Research Institute (ESRI), Research and Regulatory",Research and Regulatory
Deputy Marcella Corcoran Kennedy,The speaker expresses skepticism about the effectiveness of a carbon tax in significantly reducing greenhouse gas emissions.,Oppose,"Deputy (TD), Fine Gael, Offaly",Political Party
Dr. Kelly de Bruin,"The speaker believes that a more stringent carbon tax is necessary to effectively incentivize reduced carbon emissions, as the current tax is too low to influence behavior significantly.",Support,"Senior Research Officer, Economic and Social Research Institute (ESRI), Research and Regulatory",Research and Regulatory
Dr. Kelly de Bruin,The speaker believes that a more stringent carbon tax is necessary to effectively incentivize reductions in carbon emissions.,Support,"Senior Research Officer, Economic and Social Research Institute (ESRI), Research and Regulatory",Research and Regulatory
Dr. Kelly de Bruin,The speaker believes that a more stringent carbon tax is necessary to effectively incentivize reduced carbon emissions.,Support,"Senior Research Officer, Economic and Social Research Institute (ESRI), Research and Regulatory",Research and Regulatory
