_id,Speaker,Topic Thoughts,Sentiment,Organization,Designation,Category,Labels,Insert Datetime
6849ec1528a615fc0c4ce510,Ms Justice Mary Laffoy,"The speaker supports a balanced approach to carbon emissions in agriculture, advocating for a tax on emissions while also rewarding farmers for carbon-sequestering practices and ensuring a just transition.",Support,Supreme Court of Ireland,Justice (Retired),Research and Regulatory 080,"Research and Regulatory 080, Justice (Retired)",2025-06-11T21:50:29.306Z
6849ec1528a615fc0c4ce511,Ms Justice Mary Laffoy,"The speaker supports a balanced approach to agriculture and sustainability, advocating for a tax on greenhouse gas emissions while also promoting rewards for carbon-sequestering land management practices.",Support,Supreme Court of Ireland,Justice (Retired),Research and Regulatory 080,"Research and Regulatory 080, Justice (Retired)",2025-06-11T21:50:29.306Z
6849ec1528a615fc0c4ce512,Ms Justice Mary Laffoy,"The speaker supports a balanced approach to agriculture and sustainability, advocating for a tax on greenhouse gas emissions while also rewarding farmers for carbon-sequestering land management practices.",Support,Supreme Court of Ireland,Justice (Retired),Research and Regulatory 080,"Research and Regulatory 080, Justice (Retired)",2025-06-11T21:50:29.306Z
6849ec1528a615fc0c4ce513,Deputy Paul Murphy,The speaker believes that Ireland is lagging in addressing climate change and that political actions contradict the need for urgent climate action.,Oppose,People Before Profit Alliance,Deputy (TD),Political party 008,"Political party 008, Deputy (TD)",2025-06-11T21:50:29.306Z
6849ec1528a615fc0c4ce514,Deputy Paul Murphy,The speaker believes that Ireland is lagging in addressing carbon emissions and climate change compared to other EU member states.,Oppose,People Before Profit Alliance,Deputy (TD),Political party 008,"Political party 008, Deputy (TD)",2025-06-11T21:50:29.306Z
6849ec1528a615fc0c4ce515,Deputy Pat Deering,The speaker expresses concern about balancing agricultural production targets with greenhouse gas emissions.,Neutral,Fine Gael,"Deputy (TD), Former Chair of the Joint Oireachtas Committee on Agriculture, Food and the Marine",Political Party 003,"Political Party 003, Deputy (TD), Former Chair of the Joint Oireachtas Committee on Agriculture, Food and the Marine",2025-06-11T21:50:29.306Z
6849ec1528a615fc0c4ce516,Senator Michelle Mulherin,The speaker acknowledges the need for carbon efficiency in food production but expresses concern about the burden of additional carbon taxes on farmers.,Oppose,Seanad Eireann,Senator,Seanad Eireann 001,"Seanad Eireann 001, Senator",2025-06-11T21:50:29.306Z
6849ec1528a615fc0c4ce517,Senator Michelle Mulherin,The speaker acknowledges the need for carbon efficiency in food production but expresses concern about the burden of additional carbon taxes on farmers.,Oppose,Seanad Eireann,Senator,Seanad Eireann 001,"Seanad Eireann 001, Senator",2025-06-11T21:50:29.306Z
6849ec1528a615fc0c4ce518,Senator Michelle Mulherin,The speaker acknowledges the need for carbon efficiency in food production but is concerned about the burden of carbon taxes on farmers.,Oppose,Seanad Eireann,Senator,Seanad Eireann 001,"Seanad Eireann 001, Senator",2025-06-11T21:50:29.306Z
6849ec1528a615fc0c4ce519,Senator Michelle Mulherin,The speaker acknowledges the need for carbon efficiency in food production but is concerned about the burden of carbon taxes on farmers.,Oppose,Seanad Eireann,Senator,Seanad Eireann 001,"Seanad Eireann 001, Senator",2025-06-11T21:50:29.306Z
6849ec1528a615fc0c4ce51a,Professor Alan Barrett,The speaker indicates that there is no evidence of significant decoupling between economic growth and greenhouse gas emissions.,Neutral,Economic and Social Research Institute,Director,Research and Regulatory 029,"Research and Regulatory 029, Director",2025-06-11T21:50:29.306Z
6849ec1528a615fc0c4ce51b,Dr. Kelly de Bruin,"The speaker believes that mitigation policies are more significant in reducing emissions than economic growth, which can complicate achieving emissions goals.",Neutral,Economic and Social Research Institute,Senior Research Officer,Research and Regulatory 029,"Research and Regulatory 029, Senior Research Officer",2025-06-11T21:50:29.306Z
6849ec1528a615fc0c4ce51c,Deputy Timmy Dooley,The speaker believes that simply increasing the price of carbon will not effectively address issues like range anxiety for electric vehicles.,Oppose,Fianna Fáil,Deputy (TD),Political Party 002,"Political Party 002, Deputy (TD)",2025-06-11T21:50:29.306Z
6849ec1528a615fc0c4ce51d,Dr. John Curtis,Supports the need for higher carbon taxation to achieve future targets while minimizing economic impact.,Support,Economic and Social Research Institute,Research Officer,Research and Regulatory 029,"Research and Regulatory 029, Research Officer",2025-06-11T21:50:29.306Z
6849ec1528a615fc0c4ce51e,Dr. John Curtis,The speaker acknowledges the need for higher carbon taxation to achieve future targets but believes it can be managed without detrimental economic impact.,Support,Economic and Social Research Institute,Research Officer,Research and Regulatory 029,"Research and Regulatory 029, Research Officer",2025-06-11T21:50:29.306Z
6849ec1528a615fc0c4ce51f,Deputy Marcella Corcoran Kennedy,The speaker expresses skepticism about the effectiveness of a carbon tax in significantly reducing greenhouse gas emissions.,Oppose,Fine Gael,Deputy (TD),Political Party 003,"Political Party 003, Deputy (TD)",2025-06-11T21:50:29.306Z
6849ec1528a615fc0c4ce520,Dr. Kelly de Bruin,"The speaker believes that a more stringent carbon tax is necessary to effectively incentivize reduced carbon emissions, as the current tax is too low to influence behavior significantly.",Support,Economic and Social Research Institute,Senior Research Officer,Research and Regulatory 029,"Research and Regulatory 029, Senior Research Officer",2025-06-11T21:50:29.306Z
6849ec1528a615fc0c4ce521,Dr. Kelly de Bruin,The speaker believes that a more stringent carbon tax is necessary to effectively incentivize reductions in carbon emissions.,Support,Economic and Social Research Institute,Senior Research Officer,Research and Regulatory 029,"Research and Regulatory 029, Senior Research Officer",2025-06-11T21:50:29.306Z
6849ec1528a615fc0c4ce522,Dr. Kelly de Bruin,The speaker believes that a more stringent carbon tax is necessary to effectively incentivize reduced carbon emissions.,Support,Economic and Social Research Institute,Senior Research Officer,Research and Regulatory 029,"Research and Regulatory 029, Senior Research Officer",2025-06-11T21:50:29.306Z
6849ec1528a615fc0c4ce523,Professor Alan Barrett,"The speaker believes carbon taxes are important for environmental purposes and should not be restricted to specific spending, allowing for flexibility in revenue use.",Support,Economic and Social Research Institute,Director,Research and Regulatory 029,"Research and Regulatory 029, Director",2025-06-11T21:50:29.306Z
6849ec1528a615fc0c4ce524,Dr. John Curtis,The speaker expresses concern that purchasing emissions allowances may result in financial loss without productive investment.,Oppose,Economic and Social Research Institute,Research Officer,Research and Regulatory 029,"Research and Regulatory 029, Research Officer",2025-06-11T21:50:29.306Z
6849ec1528a615fc0c4ce525,Deputy Paul Murphy,There can be economic growth without increased greenhouse gas emissions.,Support,People Before Profit Alliance,Deputy (TD),Political party 008,"Political party 008, Deputy (TD)",2025-06-11T21:50:29.306Z
6849ec1528a615fc0c4ce526,Deputy Paul Murphy,There can be economic growth without an increase in carbon emissions.,Support,People Before Profit Alliance,Deputy (TD),Political party 008,"Political party 008, Deputy (TD)",2025-06-11T21:50:29.306Z
6849ec1528a615fc0c4ce527,Dr. Kelly de Bruin,The speaker acknowledges a link between economic growth and emissions but believes mitigation efforts can help decouple them.,Support,Economic and Social Research Institute,Senior Research Officer,Research and Regulatory 029,"Research and Regulatory 029, Senior Research Officer",2025-06-11T21:50:29.306Z
6849ec1528a615fc0c4ce528,Dr. Kelly de Bruin,"The speaker believes that emissions are linked to economic growth, but can be mitigated through smart investments.",Support,Economic and Social Research Institute,Senior Research Officer,Research and Regulatory 029,"Research and Regulatory 029, Senior Research Officer",2025-06-11T21:50:29.306Z
6849ec1528a615fc0c4ce529,Professor Alan Barrett,"The speaker indicates that economic growth is linked to an increase in greenhouse gas emissions, and significant delivery on mitigation measures is necessary for projections.",Neutral,Economic and Social Research Institute,Director,Research and Regulatory 029,"Research and Regulatory 029, Director",2025-06-11T21:50:29.306Z
6849ec1528a615fc0c4ce52a,Deputy Paul Murphy,The speaker believes that focusing solely on carbon tax is inadequate and that more serious regulatory actions are needed to address emissions.,Oppose,People Before Profit Alliance,Deputy (TD),Political party 008,"Political party 008, Deputy (TD)",2025-06-11T21:50:29.306Z
6849ec1528a615fc0c4ce52b,Deputy Paul Murphy,The speaker believes that addressing carbon emissions requires regulation and public ownership rather than relying solely on carbon taxes.,Support,People Before Profit Alliance,Deputy (TD),Political party 008,"Political party 008, Deputy (TD)",2025-06-11T21:50:29.306Z
6849ec1528a615fc0c4ce52c,Dr. Kelly de Bruin,The speaker supports a higher carbon tax to reflect the true environmental costs of carbon emissions.,Support,Economic and Social Research Institute,Senior Research Officer,Research and Regulatory 029,"Research and Regulatory 029, Senior Research Officer",2025-06-11T21:50:29.306Z
6849ec1528a615fc0c4ce52d,Deputy Paul Murphy,The speaker believes that the current carbon tax is regressive and suggests considering a fee and dividend model to mitigate its impact on low-income individuals.,Oppose,People Before Profit Alliance,Deputy (TD),Political party 008,"Political party 008, Deputy (TD)",2025-06-11T21:50:29.306Z
6849ec1528a615fc0c4ce52e,Deputy Paul Murphy,The speaker expresses skepticism about the government's use of increased carbon tax revenue for climate change initiatives.,Oppose,People Before Profit Alliance,Deputy (TD),Political party 008,"Political party 008, Deputy (TD)",2025-06-11T21:50:29.306Z
6849ec1528a615fc0c4ce52f,Deputy Paul Murphy,"The speaker expresses skepticism about the government's use of increased carbon tax revenue for climate change initiatives, indicating a lack of public trust.",Oppose,People Before Profit Alliance,Deputy (TD),Political party 008,"Political party 008, Deputy (TD)",2025-06-11T21:50:29.306Z
6849ec1528a615fc0c4ce530,Deputy Paul Murphy,The speaker expresses skepticism about the government's handling of carbon tax revenue and its commitment to climate change initiatives.,Oppose,People Before Profit Alliance,Deputy (TD),Political party 008,"Political party 008, Deputy (TD)",2025-06-11T21:50:29.306Z
6849ec1528a615fc0c4ce531,Deputy Eamon Ryan,"The speaker believes that achieving carbon neutrality requires significant system change beyond marginal adjustments, particularly in agriculture and land use.",Support,Green Party,"Deputy (TD), Leader of the Green Party and Minister for the Environment, Climate and Communications and Minister for Transport",Political Party 004,"Political Party 004, Deputy (TD), Leader of the Green Party and Minister for the Environment, Climate and Communications and Minister for Transport",2025-06-11T21:50:29.306Z
6849ec1528a615fc0c4ce532,Deputy Eamon Ryan,"The speaker believes that achieving carbon neutrality requires significant system change beyond marginal adjustments, particularly in agriculture and land use.",Support,Green Party,"Deputy (TD), Leader of the Green Party and Minister for the Environment, Climate and Communications",Political Party 004,"Political Party 004, Deputy (TD), Leader of the Green Party and Minister for the Environment, Climate and Communications",2025-06-11T21:50:29.306Z
6849ec1528a615fc0c4ce533,Deputy Eamon Ryan,"The speaker believes that achieving carbon neutrality requires significant system change beyond marginal adjustments, particularly in agriculture and land use.",Support,Green Party,"Deputy (TD), Leader of the Green Party and Minister for the Environment, Climate and Communications and Minister for Transport",Political Party 004,"Political Party 004, Deputy (TD), Leader of the Green Party and Minister for the Environment, Climate and Communications and Minister for Transport",2025-06-11T21:50:29.306Z
6849ec1528a615fc0c4ce534,Deputy Eamon Ryan,"The speaker believes that achieving carbon neutrality requires significant system change beyond marginal adjustments, particularly in agriculture and land use.",Support,Green Party,"Deputy (TD), Leader of the Green Party and Minister for the Environment, Climate and Communications",Political Party 004,"Political Party 004, Deputy (TD), Leader of the Green Party and Minister for the Environment, Climate and Communications",2025-06-11T21:50:29.306Z
