Speaker,Topic Thoughts,Sentiment,Labels,Category
Ms Justice Mary Laffoy,The speaker advocates for increased community ownership in renewable energy projects to enhance local involvement.,Support,"Justice (Retired), Supreme Court of Ireland, Research and Regulatory",Research and Regulatory
Ms Justice Mary Laffoy,"The speaker emphasizes the necessity of addressing climate change, acknowledging its broad implications, particularly for the agricultural sector.",Support,"Justice (Retired), Supreme Court of Ireland, Research and Regulatory",Research and Regulatory
Deputy Pat Deering,The speaker expresses concern about balancing increased agricultural production with greenhouse gas emissions.,Neutral,"Deputy (TD), Former Chair of the Joint Oireachtas Committee on Agriculture, Food and the Marine, Fine Gael, Carlow",Political Party
Senator Michelle Mulherin,The speaker acknowledges the need for carbon efficiency in food production but is concerned about the impact of carbon taxes on farmers.,Oppose,"Senator, Seanad Eireann (Senate of Ireland), Seanad Eireann",Seanad Eireann
Senator Michelle Mulherin,The speaker acknowledges the need for carbon efficiency in food production but is concerned about the impact of carbon taxes on farmers.,Neutral,"Senator, Seanad Eireann (Senate of Ireland), Seanad Eireann",Seanad Eireann
Senator Michelle Mulherin,The speaker acknowledges the need for carbon efficiency in food production but is concerned about the impact of additional carbon taxes on farmers.,Oppose,"Senator, Seanad Eireann (Senate of Ireland), Seanad Eireann",Seanad Eireann
Professor Alan Barrett,The speaker indicates that there is no evidence of significant decoupling between economic growth and greenhouse gas emissions.,Neutral,"Director, Economic and Social Research Institute (ESRI), Research and Regulatory",Research and Regulatory
Dr. Kelly de Bruin,"The speaker believes that mitigation policies are more impactful on emissions than economic growth, citing successful examples from Scandinavian countries.",Support,"Senior Research Officer, Economic and Social Research Institute (ESRI), Research and Regulatory",Research and Regulatory
Deputy Timmy Dooley,The speaker believes that simply increasing the price of carbon will not effectively address issues like range anxiety for electric vehicles.,Oppose,"Deputy (TD), Fianna Fáil, Clare",Political Party
Dr. John Curtis,The speaker supports increasing carbon taxation to drive renewable energy targets while minimizing economic impact.,Support,"Research Officer, Economic and Social Research Institute (ESRI), Research and Regulatory",Research and Regulatory
Professor Alan Barrett,"The speaker believes carbon taxes are important for environmental purposes and should not be restricted to specific spending, allowing for flexibility in investment.",Support,"Director, Economic and Social Research Institute (ESRI), Research and Regulatory",Research and Regulatory
Dr. John Curtis,The speaker expresses concern that purchasing emissions allowances may lead to financial loss without productive investment.,Oppose,"Research Officer, Economic and Social Research Institute (ESRI), Research and Regulatory",Research and Regulatory
Deputy Paul Murphy,The speaker believes that economic growth does not have to be linked to increased greenhouse gas emissions and that agribusiness cannot continue to expand profits while addressing emissions.,Oppose,"Deputy (TD), People Before Profit Alliance, Political Party",Political Party
Dr. Kelly de Bruin,"The speaker believes that emissions are linked to economic growth, but can be mitigated through smart investments.",Support,"Senior Research Officer, Economic and Social Research Institute (ESRI), Research and Regulatory",Research and Regulatory
