rowId,Action,File Name,Stakeholder,Category,Labels,Short Action,topic,norm,source,Insert Datetime
685d9f0757f9330c862779bc,"Continue to provide SEAI supports for small businesses across the country, including provision of advice through www.seai.ie, to help them to be more energy efficient and therefore more competitive and environmentally sustainable.",Realising our Rural Potential - Action Plan for Rural Development,Sustainable Energy Authority of Ireland,Semi-state agency ,Semi-state agency  011,Provide SEAI energy efficiency support,carbon,semistateagency011,Action Plans,2025-06-26T20:27:03.651Z
685d9f0757f9330c862779bd,"Continue to provide SEAI supports for small businesses across the country, including provision of advice through www.seai.ie, to help them to be more energy efficient and therefore more competitive and environmentally sustainable.",Realising our Rural Potential - Action Plan for Rural Development,"Department of Communications, Climate Action and the Environment","Department of Environment, Climate and Communications","Department of Environment, Climate and Communications 003",Provide SEAI energy efficiency support,carbon,"departmentofenvironment,climateandcommunications003",Action Plans,2025-06-26T20:27:03.651Z
685d9f0757f9330c862779be,"Continue to provide SEAI supports for small businesses across the country, including provision of advice through www.seai.ie, to help them to be more energy efficient and therefore more competitive and environmentally sustainable.",Realising our Rural Potential - Action Plan for Rural Development,Údarás na Gaeltachta,Government Semi State Agency,Government Semi State Agency 002,Provide SEAI energy efficiency support,carbon,governmentsemistateagency002,Action Plans,2025-06-26T20:27:03.651Z
685d9f0757f9330c862779bf,"Continue implementation of the Forestry Programme (2014- 2020) by increasing annual planting, carbon sequestration and more effective land management.",Realising our Rural Potential - Action Plan for Rural Development,"Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine 004",Implement forestry and land programme,carbon,"departmentofagriculture,foodandthemarine004",Action Plans,2025-06-26T20:27:03.651Z
685d9f0757f9330c862779c0,"Continue implementation of the Forestry Programme (2014- 2020) by increasing annual planting, carbon sequestration and more effective land management.",Realising our Rural Potential - Action Plan for Rural Development,"Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine 004",Implement forestry and land programme,carbon,"departmentofagriculture,foodandthemarine004",Action Plans,2025-06-26T20:27:03.651Z
685d9f0757f9330c862779c1,"Bord na Móna as operator of the Enhanced Decommissioning Rehabilitation and Restoration Scheme (EDRRS), NPWS as Regulator of the scheme, and other relevant Departments will work in partnership to implement the scheme. Programmes will be in place on the EDRRS peatlands to monitor carbon emissions, water quality, vegetation, habitat and biodiversity",Ireland's 4th National Biodiversity Plan 2023 to 2030,Bord na Móna,Semi-State Agency,Semi-State Agency 003,Implement peatland restoration monitoring,carbon,semistateagency003,Action Plans,2025-06-26T20:27:03.651Z
685d9f0757f9330c862779c2,"Bord na Móna as operator of the Enhanced Decommissioning Rehabilitation and Restoration Scheme (EDRRS), NPWS as Regulator of the scheme, and other relevant Departments will work in partnership to implement the scheme. Programmes will be in place on the EDRRS peatlands to monitor carbon emissions, water quality, vegetation, habitat and biodiversity",Ireland's 4th National Biodiversity Plan 2023 to 2030,National Parks and Wildlife Service,"Department of Housing, Local Government and Heritage","Department of Housing, Local Government and Heritage 003",Implement peatland restoration monitoring,carbon,"departmentofhousing,localgovernmentandheritage003",Action Plans,2025-06-26T20:27:03.651Z
685d9f0757f9330c862779c3,"To support the National Climate Objective of achieving a climate resilient, biodiversity rich, environmentally sustainable and climate neutral economy, NPWS and other relevant bodies will promote freshwater, transitional, coastal, and marine nature-based solutions (such as coastal, and wetland restoration and restoring ‘blue carbon’ ecosystems’) in national, regional, and local rural and urban programmes",Ireland's 4th National Biodiversity Plan 2023 to 2030,National Parks and Wildlife Service,"Department of Housing, Local Government and Heritage","Department of Housing, Local Government and Heritage 003",Promote nature-based coastal restoration,carbon,"departmentofhousing,localgovernmentandheritage003",Action Plans,2025-06-26T20:27:03.651Z
685d9f0757f9330c862779c4,"1.1.16. Establish and implement mechanisms for the payments of ecosystem services including carbon stocks, to generate increased revenue for biodiversity conservation and restoration",National Biodiversity Action Plan 2017 - 2021,Relevant Government Departments and Agencies,Government of Ireland,Government of Ireland 002,Establish ecosystem payment mechanisms,carbon,governmentofireland002,Action Plans,2025-06-26T20:27:03.651Z
685d9f0757f9330c862779c5,"2.1.10. Continue forest research programme on forest biodiversity, the delivery of wider ecosystem services (e.g. protection of water), carbon accounting and the interaction of climate change and forest systems",National Biodiversity Action Plan 2017 - 2021,"Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine 004",Continue forest biodiversity research,carbon,"departmentofagriculture,foodandthemarine004",Action Plans,2025-06-26T20:27:03.651Z
