_id,RECOMMENDATION,Short Recommendation,Action,Short Action,Formal Stakeholder,Category,Labels,norm,topic,source,Insert Datetime,Stakeholder
685d9e5a57f9330c862778f9,"Recognising Agriculture’s role in ongoing National, EU and International Climate Change and Energy Policy Development",Recognise agriculture's climate policy role,DAFM to finalise a sectoral plan for agriculture and forestry to inform the National Mitigation Plan under the National Climate Action and Low_x0002_Carbon Development Bill.,Finalise agriculture mitigation sectoral plan,"Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine 004","departmentofagriculture,foodandthemarine004",carbon,Food Wise,2025-06-26T20:24:10.811Z,
685d9e5a57f9330c862778fa,"Recognising Agriculture’s role in ongoing National, EU and International Climate Change and Energy Policy Development",Recognise agriculture's climate policy role,DAFM to continue active participation in multi-stakeholder ‘Global Alliance for Climate Smart Agriculture’ which is promoting the application of climate smart approaches to agriculture production systems.,Continue participation in global alliance,"Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine 004","departmentofagriculture,foodandthemarine004",carbon,Food Wise,2025-06-26T20:24:10.811Z,
685d9e5a57f9330c862778fb,"Recognising Agriculture’s role in ongoing National, EU and International Climate Change and Energy Policy Development",Recognise agriculture's climate policy role,DAFM to continue active participation in multi-stakeholder ‘Global Alliance for Climate Smart Agriculture’ which is promoting the application of climate smart approaches to agriculture production systems.,Continue participation in global alliance,Global Research Alliance,Research And Regulatory,Research and Regulatory 041,researchandregulatory041,carbon,Food Wise,2025-06-26T20:24:10.811Z,
685d9e5a57f9330c862778fc,"Recognising Agriculture’s role in ongoing National, EU and International Climate Change and Energy Policy Development",Recognise agriculture's climate policy role,"DAFM to continue to work closely with DCENR, as part of National Bioenergy Plan discussions, to assess supply side issues related to the potential of bioenergy from the agriculture and forestry sectors and develop farm-scale renewables. DAFM will continue to support afforestation and mobilisation measures under the Forestry Programme 2014-2020 and encourage the innovative use of animal by-products (ABP) for energy production",Assess bioenergy potential and support,"Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine 004","departmentofagriculture,foodandthemarine004",carbon,Food Wise,2025-06-26T20:24:10.811Z,
685d9e5a57f9330c862778fd,"Recognising Agriculture’s role in ongoing National, EU and International Climate Change and Energy Policy Development",Recognise agriculture's climate policy role,"DAFM to continue to work closely with DCENR, as part of National Bioenergy Plan discussions, to assess supply side issues related to the potential of bioenergy from the agriculture and forestry sectors and develop farm-scale renewables. DAFM will continue to support afforestation and mobilisation measures under the Forestry Programme 2014-2020 and encourage the innovative use of animal by-products (ABP) for energy production",Assess bioenergy potential and support,"Department Of Communications, Energy And Natural Resources","Department Of Communications, Energy And Natural Resources","Department of Communications, Energy and Natural Resources 001","departmentofcommunications,energyandnaturalresources001",carbon,Food Wise,2025-06-26T20:24:10.811Z,
685d9e5a57f9330c862778fe,"Recognising Agriculture’s role in ongoing National, EU and International Climate Change and Energy Policy Development",Recognise agriculture's climate policy role,"DAFM to continue to work closely with DCENR, as part of National Bioenergy Plan discussions, to assess supply side issues related to the potential of bioenergy from the agriculture and forestry sectors and develop farm-scale renewables. DAFM will continue to support afforestation and mobilisation measures under the Forestry Programme 2014-2020 and encourage the innovative use of animal by-products (ABP) for energy production",Assess bioenergy potential and support,"Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine 004","departmentofagriculture,foodandthemarine004",carbon,Food Wise,2025-06-26T20:24:10.811Z,
685d9e5a57f9330c862778ff,"Recognising Agriculture’s role in ongoing National, EU and International Climate Change and Energy Policy Development",Recognise agriculture's climate policy role,"DAFM to continue to work closely with DCENR, as part of National Bioenergy Plan discussions, to assess supply side issues related to the potential of bioenergy from the agriculture and forestry sectors and develop farm-scale renewables. DAFM will continue to support afforestation and mobilisation measures under the Forestry Programme 2014-2020 and encourage the innovative use of animal by-products (ABP) for energy production",Assess bioenergy potential and support,Forest Industries Ireland,Semi-state agency,Semi-state agency 006,semistateagency006,carbon,Food Wise,2025-06-26T20:24:10.811Z,
685d9e5a57f9330c86277900,"Recognising Agriculture’s role in ongoing National, EU and International Climate Change and Energy Policy Development",Recognise agriculture's climate policy role,DAFM in conjunction with other agencies should maximise their use of scientific expertise to actively engage in international networks and research groups to find new ways to account for and reduce emissions.,Engage internationally to reduce emissions,"Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine 004","departmentofagriculture,foodandthemarine004",carbon,Food Wise,2025-06-26T20:24:10.811Z,
685d9e5a57f9330c86277901,Measurement of Ireland’s environmental sustainability credentials,Measure environmental sustainability metrics,"Continued updating on an annual basis of Teagasc National Farm Survey sustainability indicators, including further development of a wider spectrum of appropriate indicators and activity data to more accurately measure environmental sustainability and contribute to development and enhancement of GHG and ammonia inventories.",Update sustainability indicators annually,Teagasc The Agriculture and Food Development Authority,Semi-state agency,Semi-state agency 012,semistateagency012,carbon,Food Wise,2025-06-26T20:24:10.811Z,
685d9e5a57f9330c86277902,Measurement of Ireland’s environmental sustainability credentials,Measure environmental sustainability metrics,Update Teagasc’s Marginal Abatement Cost Curve for Irish agriculture on a more frequent basis to ensure the latest technological developments help inform an assessment of a wider range of GHG mitigation measures that could be rolled out at farm level,Update agriculture cost curve frequently,Teagasc The Agriculture and Food Development Authority,Semi-state agency,Semi-state agency 012,semistateagency012,carbon,Food Wise,2025-06-26T20:24:10.811Z,
