_id,Document Name,Author,Year,Primary Stakeholder,Primary Category,Primary Labels,Secondary Stakeholder,Secondary Category,Secondary Labels,Context,Tag,prinorm,secnorm,source,Insert Datetime
685d9f7157f9330c8627803e,Climate Change and Sustainability in the Agriculture and Food Sectors.pdf,"Joint Committee on Agriculture, Food and the Marine",2018,Dairy Industry Ireland,Trade Association,Trade Association 005,Dairy Sustainability Ireland,Trade Association,Trade Association 006,Dairy Industry Ireland described Dairy Sustainability Ireland as a collaborative initiative aimed at enhancing dairy farm sustainability through industry and government partnership.,Collaboration,tradeassociation005,tradeassociation006,Publications,2025-06-26T20:28:49.496Z
685d9f7157f9330c8627803f,Climate Change and Sustainability in the Agriculture and Food Sectors.pdf,"Joint Committee on Agriculture, Food and the Marine",2018,Dairy Industry Ireland,Trade Association,Trade Association 005,Dairy Sustainability Ireland,Trade Association,Trade Association 006,Dairy Industry Ireland described Dairy Sustainability Ireland as a collaborative initiative aimed at enhancing dairy farm sustainability through industry and government partnership.,Collaboration,tradeassociation005,tradeassociation006,Publications,2025-06-26T20:28:49.496Z
685d9f7157f9330c86278040,Climate Change and Sustainability in the Agriculture and Food Sectors.pdf,"Joint Committee on Agriculture, Food and the Marine",2018,Dairy Industry Ireland,Trade Association,Trade Association 005,Dairy Sustainability Ireland,Trade Association,Trade Association 006,Dairy Industry Ireland described Dairy Sustainability Ireland as a collaborative initiative aimed at enhancing dairy farm sustainability through industry and government partnership.,Collaboration,tradeassociation005,tradeassociation006,Publications,2025-06-26T20:28:49.496Z
685d9f7157f9330c86278041,Climate Change and Sustainability in the Agriculture and Food Sectors.pdf,"Joint Committee on Agriculture, Food and the Marine",2018,Dairy Industry Ireland,Trade Association,Trade Association 005,Dairy Sustainability Ireland,Trade Association,Trade Association 006,Dairy Industry Ireland described Dairy Sustainability Ireland as a collaborative initiative aimed at enhancing dairy farm sustainability through industry and government partnership.,Collaboration,tradeassociation005,tradeassociation006,Publications,2025-06-26T20:28:49.496Z
685d9f7157f9330c86278042,Climate Change and Sustainability in the Agriculture and Food Sectors.pdf,"Joint Committee on Agriculture, Food and the Marine",2018,Government of Ireland,Government of Ireland,Government of Ireland 001,Sustainability and Advisory Service,Research and Regulatory,Research and Regulatory 081,"The Government's initiative, the Sustainability and Advisory Service, is aligned with the Dairy Sustainability Ireland initiative, emphasizing collaboration for dairy farm sustainability.",Collaboration,governmentofireland001,researchandregulatory081,Publications,2025-06-26T20:28:49.496Z
685d9f7157f9330c86278043,Climate Change and Sustainability in the Agriculture and Food Sectors.pdf,"Joint Committee on Agriculture, Food and the Marine",2018,Teagasc The Agriculture and Food Development Authority,Semi-state agency,Semi-state agency 012,Dairy Farmers,Producers,Producers 006,"Teagasc provides resources, such as the Dairy Beef Index, to assist dairy farmers in selecting suitable beef sires for their dairy cows.",Supports,semistateagency012,producers006,Publications,2025-06-26T20:28:49.496Z
685d9f7157f9330c86278044,Climate Change and Sustainability in the Agriculture and Food Sectors.pdf,"Joint Committee on Agriculture, Food and the Marine",2018,Teagasc The Agriculture and Food Development Authority,Semi-state agency,Semi-state agency 012,Dairy Farmers,Producers,Producers 006,"Teagasc provides resources, such as the Dairy Beef Index, to assist dairy farmers in selecting suitable beef sires for their dairy cows.",Supports,semistateagency012,producers006,Publications,2025-06-26T20:28:49.496Z
685d9f7157f9330c86278045,Climate Change and Sustainability in the Agriculture and Food Sectors.pdf,"Joint Committee on Agriculture, Food and the Marine",2018,Teagasc The Agriculture and Food Development Authority,Semi-state agency,Semi-state agency 012,Dairy Farmers,Producers,Producers 006,"Teagasc provides resources, such as the Dairy Beef Index, to assist dairy farmers in selecting suitable beef sires for dairy cows.",Supports,semistateagency012,producers006,Publications,2025-06-26T20:28:49.496Z
685d9f7157f9330c86278046,Climate Change and Sustainability in the Agriculture and Food Sectors.pdf,"Joint Committee on Agriculture, Food and the Marine",2018,Teagasc The Agriculture and Food Development Authority,Semi-state agency,Semi-state agency 012,Dairy Farmers,Producers,Producers 006,"Teagasc provides resources, such as the Dairy Beef Index, to assist dairy farmers in selecting suitable beef sires for dairy cows.",Supports,semistateagency012,producers006,Publications,2025-06-26T20:28:49.496Z
685d9f7157f9330c86278047,Climate Change and Sustainability in the Agriculture and Food Sectors.pdf,"Joint Committee on Agriculture, Food and the Marine",2018,Dairy Industry Ireland,Trade Association,Trade Association 005,Dairy Sustainability Ireland,Trade Association,Trade Association 006,Dairy Industry Ireland described Dairy Sustainability Ireland as a collaborative initiative aimed at enhancing dairy farm sustainability economically and environmentally.,Collaboration,tradeassociation005,tradeassociation006,Publications,2025-06-26T20:28:49.496Z
685d9f7157f9330c86278048,Climate Change and Sustainability in the Agriculture and Food Sectors.pdf,"Joint Committee on Agriculture, Food and the Marine",2018,Dairy Industry Ireland,Trade Association,Trade Association 005,Dairy Sustainability Ireland,Trade Association,Trade Association 006,Dairy Industry Ireland described Dairy Sustainability Ireland as a collaborative initiative aimed at enhancing dairy farm sustainability economically and environmentally.,Collaboration,tradeassociation005,tradeassociation006,Publications,2025-06-26T20:28:49.496Z
685d9f7157f9330c86278049,Climate Change and Sustainability in the Agriculture and Food Sectors.pdf,"Joint Committee on Agriculture, Food and the Marine",2018,Dairy Industry Ireland,Trade Association,Trade Association 005,Dairy Sustainability Ireland,Trade Association,Trade Association 006,Dairy Industry Ireland described Dairy Sustainability Ireland as a collaborative initiative aimed at enhancing dairy farm sustainability economically and environmentally.,Collaboration,tradeassociation005,tradeassociation006,Publications,2025-06-26T20:28:49.496Z
685d9f7157f9330c8627804a,Climate Change and Sustainability in the Agriculture and Food Sectors.pdf,"Joint Committee on Agriculture, Food and the Marine",2018,Dairy Industry Ireland,Trade Association,Trade Association 005,Dairy Sustainability Ireland,Trade Association,Trade Association 006,Dairy Industry Ireland described Dairy Sustainability Ireland as a collaborative initiative aimed at enhancing dairy farm sustainability economically and environmentally.,Collaboration,tradeassociation005,tradeassociation006,Publications,2025-06-26T20:28:49.496Z
685d9f7157f9330c8627804b,Climate Change and Sustainability in the Agriculture and Food Sectors.pdf,"Joint Committee on Agriculture, Food and the Marine",2018,Government of Ireland,Government of Ireland,Government of Ireland 001,Sustainability and Advisory Service,Research and Regulatory,Research and Regulatory 081,"The Government's initiative called the Sustainability and Advisory Service is aligned with the Dairy Sustainability Ireland initiative, emphasizing collaboration for dairy farm sustainability.",Collaboration,governmentofireland001,researchandregulatory081,Publications,2025-06-26T20:28:49.496Z
685d9f7157f9330c8627804c,Climate Change and Sustainability in the Agriculture and Food Sectors.pdf,"Joint Committee on Agriculture, Food and the Marine",2018,Dairy Industry Ireland,Trade Association,Trade Association 005,Dairy Sustainability Ireland,Trade Association,Trade Association 006,Dairy Industry Ireland described Dairy Sustainability Ireland as a collaborative initiative aimed at enhancing dairy farm sustainability economically and environmentally.,Collaboration,tradeassociation005,tradeassociation006,Publications,2025-06-26T20:28:49.496Z
685d9f7157f9330c8627804d,Climate Change and Sustainability in the Agriculture and Food Sectors.pdf,"Joint Committee on Agriculture, Food and the Marine",2018,Dairy Industry Ireland,Trade Association,Trade Association 005,Dairy Sustainability Ireland,Trade Association,Trade Association 006,Dairy Industry Ireland described Dairy Sustainability Ireland as a collaborative initiative aimed at enhancing dairy farm sustainability economically and environmentally.,Collaboration,tradeassociation005,tradeassociation006,Publications,2025-06-26T20:28:49.496Z
685d9f7157f9330c8627804e,Climate Change and Sustainability in the Agriculture and Food Sectors.pdf,"Joint Committee on Agriculture, Food and the Marine",2018,Dairy Industry Ireland,Trade Association,Trade Association 005,Dairy Sustainability Ireland,Trade Association,Trade Association 006,Dairy Industry Ireland described Dairy Sustainability Ireland as a collaborative initiative aimed at enhancing dairy farm sustainability economically and environmentally.,Collaboration,tradeassociation005,tradeassociation006,Publications,2025-06-26T20:28:49.496Z
685d9f7157f9330c8627804f,Climate Change and Sustainability in the Agriculture and Food Sectors.pdf,"Joint Committee on Agriculture, Food and the Marine",2018,Dairy Industry Ireland,Trade Association,Trade Association 005,Dairy Sustainability Ireland,Trade Association,Trade Association 006,Dairy Industry Ireland described Dairy Sustainability Ireland as a collaborative initiative aimed at enhancing dairy farm sustainability economically and environmentally.,Collaboration,tradeassociation005,tradeassociation006,Publications,2025-06-26T20:28:49.496Z
685d9f7157f9330c86278050,Climate Change and Sustainability in the Agriculture and Food Sectors.pdf,"Joint Committee on Agriculture, Food and the Marine",2018,Government of Ireland,Government of Ireland,Government of Ireland 001,Sustainability and Advisory Service,Research and Regulatory,Research and Regulatory 081,"The Government's initiative called the Sustainability and Advisory Service is aligned with the Dairy Sustainability Ireland initiative, which aims to enhance dairy farm sustainability.",Supports,governmentofireland001,researchandregulatory081,Publications,2025-06-26T20:28:49.496Z
685d9f7157f9330c86278051,Climate Change and Sustainability in the Agriculture and Food Sectors.pdf,"Joint Committee on Agriculture, Food and the Marine",2018,Teagasc The Agriculture and Food Development Authority,Semi-state agency,Semi-state agency 012,Irish Cattle Breeding Federation,Research and Regulatory,Research and Regulatory 050,Teagasc and the Irish Cattle Breeding Federation cooperate closely on the Beef Data and Genomics Programme to improve cattle productivity and reduce greenhouse gas emissions.,Collaboration,semistateagency012,researchandregulatory050,Publications,2025-06-26T20:28:49.496Z
685d9f7157f9330c86278052,Climate Change and Sustainability in the Agriculture and Food Sectors.pdf,"Joint Committee on Agriculture, Food and the Marine",2018,Teagasc The Agriculture and Food Development Authority,Semi-state agency,Semi-state agency 012,Irish Cattle Breeding Federation,Research and Regulatory,Research and Regulatory 050,Teagasc and the Irish Cattle Breeding Federation cooperate closely on the Beef Data and Genomics Programme to improve cattle productivity and reduce greenhouse gas emissions.,Collaboration,semistateagency012,researchandregulatory050,Publications,2025-06-26T20:28:49.496Z
